A9s,pos2,nr2,npi4=0
A9s,pos2,nr2,npi3=0
92s,pos4,nr0,npi0=1
A9s,pos2,nr2,npi0=0
JJo,pos3,nr0,npi0=2
KQo,pos1,nr0,npi0=2
QQo,pos0,nr1,npi0=2
A4s,pos2,nr0,npi0=1
22o,pos4,nr2,npi0=0
QTo,pos0,nr0,npi0=0
44o,pos3,nr1,npi0=1
66o,pos2,nr0,npi0=1
J9s,pos1,nr0,npi0=1
J2s,pos0,nr2,npi0=0
K5s,pos1,nr2,npi0=0
JTs,pos1,nr2,npi0=0
J9s,pos3,nr2,npi0=0
97s,pos0,nr2,npi0=0
K4s,pos4,nr1,npi0=1
65s,pos0,nr2,npi0=0
83s,pos2,nr1,npi4=0
T2s,pos0,nr1,npi0=0
83s,pos2,nr1,npi3=0
Q8s,pos0,nr2,npi0=0
74s,pos4,nr2,npi0=0
ATo,pos3,nr1,npi0=0
Q4s,pos3,nr2,npi0=0
83s,pos2,nr1,npi0=0
42s,pos4,nr2,npi0=0
K7s,pos4,nr0,npi0=1
92s,pos0,nr0,npi0=0
QJs,pos1,nr0,npi0=1
64s,pos3,nr1,npi0=0
T9s,pos3,nr1,npi0=0
T5s,pos0,nr0,npi0=0
73s,pos1,nr0,npi0=0
Q7s,pos3,nr1,npi0=0
86s,pos2,nr0,npi0=1
54s,pos2,nr0,npi0=1
JJo,pos1,nr2,npi0=1
AKs,pos1,nr2,npi0=2
A4s,pos0,nr2,npi0=0
AJs,pos4,nr1,npi0=2
JTo,pos4,nr1,npi0=0
A3s,pos3,nr1,npi0=0
J5s,pos2,nr2,npi4=0
J5s,pos2,nr2,npi3=0
66o,pos0,nr2,npi0=0
AQs,pos1,nr0,npi0=2
J5s,pos2,nr2,npi0=0
K4s,pos0,nr1,npi0=0
J8s,pos2,nr1,npi4=0
A6s,pos3,nr0,npi0=1
J8s,pos2,nr1,npi3=0
J8s,pos2,nr1,npi0=0
42s,pos0,nr2,npi0=0
K7s,pos0,nr0,npi0=0
55o,pos2,nr0,npi0=1
KJs,pos0,nr1,npi0=1
KQs,pos3,nr1,npi0=2
Q6s,pos2,nr0,npi0=0
86s,pos0,nr2,npi0=0
AKo,pos4,nr1,npi0=2
82s,pos3,nr2,npi0=0
95s,pos4,nr2,npi0=0
72s,pos2,nr1,npi4=0
72s,pos2,nr1,npi3=0
T4s,pos1,nr1,npi0=0
63s,pos4,nr2,npi0=0
T8s,pos4,nr2,npi0=0
72s,pos2,nr1,npi0=0
85s,pos3,nr1,npi0=0
94s,pos1,nr0,npi0=0
98s,pos4,nr1,npi0=1
JTo,pos0,nr1,npi0=0
T7s,pos1,nr0,npi0=0
T3s,pos4,nr0,npi0=1
A2s,pos2,nr0,npi0=1
KKo,pos0,nr1,npi0=2
A2s,pos4,nr2,npi0=0
TTo,pos2,nr2,npi4=1
KJo,pos3,nr0,npi0=1
TTo,pos2,nr2,npi3=0
QJo,pos2,nr1,npi4=0
TTo,pos2,nr2,npi0=0
QJo,pos2,nr1,npi3=0
K3s,pos1,nr2,npi0=0
QJo,pos2,nr1,npi0=0
J7s,pos3,nr2,npi0=0
J3s,pos0,nr1,npi0=0
K6s,pos1,nr1,npi0=0
K2s,pos4,nr1,npi0=1
99o,pos4,nr1,npi0=1
63s,pos0,nr2,npi0=0
Q6s,pos0,nr2,npi0=0
J6s,pos0,nr0,npi0=0
Q2s,pos3,nr2,npi0=0
J2s,pos3,nr0,npi0=1
K9s,pos1,nr0,npi0=1
K5s,pos4,nr0,npi0=1
JTs,pos4,nr0,npi0=1
62s,pos3,nr1,npi0=0
Q9s,pos0,nr1,npi0=0
Q5s,pos3,nr1,npi0=0
43s,pos4,nr1,npi0=1
52s,pos2,nr0,npi0=0
65s,pos3,nr0,npi0=1
T3s,pos2,nr2,npi4=0
T3s,pos2,nr2,npi3=0
Q8s,pos3,nr0,npi0=1
AQo,pos2,nr1,npi4=1
AQo,pos2,nr1,npi3=0
T3s,pos2,nr2,npi0=0
93s,pos2,nr1,npi4=0
93s,pos2,nr1,npi3=0
AQo,pos2,nr1,npi0=0
84s,pos4,nr2,npi0=0
93s,pos2,nr1,npi0=0
A2s,pos0,nr2,npi0=0
ATs,pos1,nr2,npi0=0
87s,pos4,nr1,npi0=1
A9s,pos3,nr2,npi0=0
A5s,pos0,nr1,npi0=0
JJo,pos4,nr0,npi0=2
KQo,pos2,nr0,npi0=2
KJo,pos1,nr2,npi0=0
QQo,pos1,nr1,npi0=2
A8s,pos0,nr0,npi0=1
A4s,pos3,nr0,npi0=1
KQo,pos4,nr2,npi0=0
44o,pos4,nr1,npi0=1
QTo,pos1,nr0,npi0=0
66o,pos3,nr0,npi0=1
J9s,pos2,nr0,npi0=1
JTs,pos2,nr2,npi4=0
K5s,pos2,nr2,npi4=0
JTs,pos2,nr2,npi3=0
K5s,pos2,nr2,npi3=0
J2s,pos1,nr2,npi0=0
JTs,pos2,nr2,npi0=0
K5s,pos2,nr2,npi0=0
K8s,pos2,nr1,npi4=0
K8s,pos2,nr1,npi3=0
J9s,pos4,nr2,npi0=0
84s,pos0,nr2,npi0=0
K8s,pos2,nr1,npi0=0
88o,pos4,nr1,npi0=1
52s,pos0,nr2,npi0=0
65s,pos1,nr2,npi0=0
T2s,pos1,nr1,npi0=0
Q8s,pos1,nr2,npi0=0
Q4s,pos4,nr2,npi0=0
87s,pos0,nr1,npi0=0
83s,pos3,nr1,npi0=0
92s,pos1,nr0,npi0=0
QJs,pos2,nr0,npi0=2
AAo,pos0,nr1,npi0=2
64s,pos4,nr1,npi0=1
T9s,pos4,nr1,npi0=1
T5s,pos1,nr0,npi0=0
73s,pos2,nr0,npi0=0
Q3s,pos1,nr0,npi0=0
Q7s,pos4,nr1,npi0=0
86s,pos3,nr0,npi0=1
54s,pos3,nr0,npi0=1
JJo,pos2,nr2,npi4=1
JJo,pos2,nr2,npi3=0
92s,pos3,nr2,npi0=0
AKs,pos2,nr2,npi4=2
AKs,pos2,nr2,npi3=2
JJo,pos2,nr2,npi0=0
KQo,pos0,nr2,npi0=0
AKs,pos2,nr2,npi0=2
A4s,pos1,nr2,npi0=0
KTo,pos0,nr1,npi0=0
A7s,pos1,nr1,npi0=0
A3s,pos4,nr1,npi0=1
66o,pos1,nr2,npi0=0
AQs,pos2,nr0,npi0=2
J9s,pos0,nr2,npi0=0
88o,pos0,nr1,npi0=1
A6s,pos4,nr0,npi0=1
J4s,pos0,nr0,npi0=0
J8s,pos3,nr1,npi0=0
33o,pos4,nr1,npi0=1
K7s,pos1,nr0,npi0=0
55o,pos3,nr0,npi0=1
32s,pos0,nr1,npi0=0
Q7s,pos0,nr1,npi0=0
KJs,pos1,nr1,npi0=1
QJs,pos0,nr2,npi0=0
KQs,pos4,nr1,npi0=2
Q6s,pos3,nr0,npi0=1
73s,pos0,nr2,npi0=0
86s,pos1,nr2,npi0=0
82s,pos4,nr2,npi0=0
T4s,pos2,nr1,npi4=0
T4s,pos2,nr1,npi3=0
T4s,pos2,nr1,npi0=0
76s,pos0,nr1,npi0=0
72s,pos3,nr1,npi0=0
85s,pos4,nr1,npi0=0
QTs,pos3,nr1,npi0=0
94s,pos2,nr0,npi0=0
T7s,pos2,nr0,npi0=0
75s,pos3,nr0,npi0=1
A6s,pos0,nr0,npi0=1
KKo,pos1,nr1,npi0=2
AQs,pos0,nr2,npi0=1
33o,pos0,nr1,npi0=1
KJo,pos4,nr0,npi0=1
K3s,pos2,nr2,npi4=0
K3s,pos2,nr2,npi3=0
TTo,pos3,nr2,npi0=0
K3s,pos2,nr2,npi0=0
KQs,pos0,nr1,npi0=1
QJo,pos3,nr1,npi0=0
K6s,pos2,nr1,npi4=0
K6s,pos2,nr1,npi3=0
J7s,pos4,nr2,npi0=0
77o,pos0,nr1,npi0=1
J3s,pos1,nr1,npi0=0
K6s,pos2,nr1,npi0=0
KTs,pos0,nr0,npi0=1
Q6s,pos1,nr2,npi0=0
J6s,pos1,nr0,npi0=0
J2s,pos4,nr0,npi0=1
K9s,pos2,nr0,npi0=2
53s,pos0,nr1,npi0=0
Q9s,pos1,nr1,npi0=0
Q5s,pos4,nr1,npi0=0
52s,pos3,nr0,npi0=1
AJo,pos0,nr1,npi0=0
94s,pos0,nr2,npi0=0
65s,pos4,nr0,npi0=1
Q8s,pos4,nr0,npi0=1
T3s,pos3,nr2,npi0=0
AQo,pos3,nr1,npi0=1
97s,pos0,nr1,npi0=0
93s,pos3,nr1,npi0=0
A2s,pos1,nr2,npi0=0
T6s,pos3,nr1,npi0=0
96s,pos3,nr0,npi0=1
A9s,pos4,nr2,npi0=0
A5s,pos1,nr1,npi0=0
KQo,pos3,nr0,npi0=1
KJo,pos2,nr2,npi4=0
KJo,pos2,nr2,npi3=0
KJo,pos2,nr2,npi0=0
A8s,pos1,nr0,npi0=1
A4s,pos4,nr0,npi0=1
22o,pos0,nr1,npi0=1
QTo,pos2,nr0,npi0=1
66o,pos4,nr0,npi0=1
J2s,pos2,nr2,npi4=0
J2s,pos2,nr2,npi3=0
J2s,pos2,nr2,npi0=0
K9s,pos0,nr2,npi0=0
JTs,pos3,nr2,npi0=0
K5s,pos3,nr2,npi0=0
J5s,pos2,nr1,npi4=0
J5s,pos2,nr1,npi3=0
J5s,pos2,nr1,npi0=0
65s,pos2,nr2,npi4=0
K8s,pos3,nr1,npi0=0
65s,pos2,nr2,npi3=0
T2s,pos2,nr1,npi4=0
T2s,pos2,nr1,npi3=0
52s,pos1,nr2,npi0=0
Q8s,pos2,nr2,npi4=0
65s,pos2,nr2,npi0=0
Q8s,pos2,nr2,npi3=0
T2s,pos2,nr1,npi0=0
74s,pos0,nr1,npi0=0
Q8s,pos2,nr2,npi0=0
87s,pos1,nr1,npi0=0
QJs,pos3,nr0,npi0=1
AAo,pos1,nr1,npi0=2
T5s,pos2,nr0,npi0=0
73s,pos3,nr0,npi0=1
Q3s,pos2,nr0,npi0=0
86s,pos4,nr0,npi0=1
54s,pos4,nr0,npi0=1
92s,pos4,nr2,npi0=0
JJo,pos3,nr2,npi0=0
KQo,pos1,nr2,npi0=0
AKs,pos3,nr2,npi0=2
A4s,pos2,nr2,npi4=0
A4s,pos2,nr2,npi3=0
A4s,pos2,nr2,npi0=0
KTo,pos1,nr1,npi0=0
AJs,pos0,nr0,npi0=2
A7s,pos2,nr1,npi4=1
A7s,pos2,nr1,npi3=0
66o,pos2,nr2,npi4=0
QTo,pos0,nr2,npi0=0
JTo,pos0,nr0,npi0=0
A7s,pos2,nr1,npi0=0
66o,pos2,nr2,npi3=0
66o,pos2,nr2,npi0=0
AQs,pos3,nr0,npi0=2
J9s,pos1,nr2,npi0=0
88o,pos1,nr1,npi0=1
J4s,pos1,nr0,npi0=0
J8s,pos4,nr1,npi0=1
K7s,pos2,nr0,npi0=1
KJs,pos2,nr1,npi4=1
KJs,pos2,nr1,npi3=0
55o,pos4,nr0,npi0=1
32s,pos1,nr1,npi0=0
Q7s,pos1,nr1,npi0=0
KJs,pos2,nr1,npi0=0
