@relation PostFoldCallRaise

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute round {flop,turn,river}
@attribute gameCount numeric
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute deficit numeric
@attribute potOdds numeric
@attribute maxbet numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute foldFrequencyRound numeric
@attribute callFrequencyRound numeric
@attribute raiseFrequencyRound numeric
@attribute isComitted {false,true}
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute nbPlayerRoundRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute foldProb numeric
@attribute callProb numeric
@attribute raiseProb numeric
@attribute action {fold,call,raise}

@data
0,0,1,river,2,1,15,4994,0.693147,0.117647,0.693147,2,2,1,0.48,0.205,0.33,0.56,0.35,0.09,false,4,1,0,0.25,0.693147,0.2,false,0.533333,0.44,2.333333,0.355556,0.064539,0.456,0.533333,0.44,3.2,0.577778,0.382992,0.456,1,0,0,fold
0,0,1,flop,4,1,29,4988,0,0.033333,0,2,2,1,0.449231,0.203077,0.356923,0.59,0.29,0.12,false,4,1,0,0.25,0.693147,0.25,false,0.65,0.58,2.285714,0.371429,0,0.38,0.65,0.58,4,0.707692,0.405465,0.38,1,0,0,fold
0,0,1,flop,6,1,43,4982,0,0.022727,0,2,2,1,0.435556,0.202222,0.368889,0.672,0.232,0.096,false,4,1,0,0.25,0.693147,0.25,false,0.72,0.664,2.25,0.378947,-0.040822,0.325714,0.72,0.664,4.8,0.776471,0.41871,0.325714,0,1,0,call
0,0,1,turn,6,2,50,4979,0.693147,0.038462,1.386294,2,2,1,0.412632,0.244211,0.349474,0.53,0.37,0.1,true,6,2,1,0.333333,1.386294,0.375,true,0.72,0.664,2.111111,0.390476,0.036368,0.325714,0.72,0.664,5,0.788889,0.370374,0.325714,0,0,1,raise
0,0,1,turn,6,4,58,4975,0.693147,0.033333,2.079442,2,2,1,0.392,0.232,0.382,0.424,0.296,0.28,true,8,3,2,0.375,1.791759,0.416667,true,0.72,0.664,2.222222,0.418182,0.031749,0.325714,0.72,0.664,5.2,0.8,0.332134,0.325714,0,1,0,call
0,0,1,river,6,2,66,4971,0.693147,0.029412,1.386294,2,2,1,0.373333,0.268571,0.36381,0.648,0.28,0.072,true,10,4,1,0.4,2.079442,0.4375,true,0.72,0.664,2.1,0.425,0.028171,0.325714,0.72,0.664,5.4,0.81,0.301105,0.325714,0,0,1,raise
0,0,1,river,6,4,74,4967,0.693147,0.026316,2.079442,2,2,1,0.356364,0.256364,0.392727,0.54,0.233333,0.226667,true,12,5,2,0.416667,2.302585,0.45,true,0.72,0.664,2.2,0.448,0.025318,0.325714,0.72,0.664,5.6,0.819048,0.275412,0.325714,0,1,0,call
0,0,1,flop,8,1,90,4959,0,0.010989,0,2,2,1,0.327407,0.282963,0.394074,0.56,0.36,0.08,false,4,1,0,0.25,0.693147,0.25,false,0.766667,0.72,2,0.44,-0.087011,0.285,0.766667,0.72,6.4,0.848,0.298493,0.285,0,1,0,call
0,0,1,turn,8,1,93,4958,0.693147,0.021053,0.693147,2,2,1,0.315714,0.308571,0.38,0.353333,0.413333,0.233333,false,5,1,0,0.2,0.693147,0.166667,false,0.766667,0.72,1.846154,0.425806,-0.127833,0.285,0.766667,0.72,6.6,0.853846,0.361013,0.285,0,1,0,call
0,0,1,river,8,1,97,4956,0.693147,0.020202,0.693147,2,2,1,0.304828,0.332414,0.366897,0.462857,0.342857,0.194286,false,6,1,0,0.166667,0.693147,0.125,false,0.766667,0.72,1.714286,0.4125,-0.204794,0.285,0.766667,0.72,6.8,0.859259,0.419854,0.285,1,0,0,fold
