@relation PreFoldCallRaise

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute gameCount numeric
@attribute somebodyActedThisRound {false,true}
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute deficit numeric
@attribute potOdds numeric
@attribute maxbet numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute foldFrequencyRound numeric
@attribute callFrequencyRound numeric
@attribute raiseFrequencyRound numeric
@attribute isComitted {false,true}
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute foldProb numeric
@attribute callProb numeric
@attribute raiseProb numeric
@attribute action {fold,call,raise}

@data
0,0,2,1,false,0,1.5,4999.5,-0.693147,0.25,0,2,2,1,0.71,0.16,0.16,0.71,0.14,0.15,true,0,0,0,0,0,false,0.24,0.128,2.4,0.24,0.182322,0.57,0.24,0.128,2.4,0.24,0.182322,0.57,0,0,1,raise
0,0,1,1,true,2,5,4998,0,0.166667,1.098612,2,2,1,0.568,0.128,0.328,0.568,0.112,0.32,true,2,1,0.5,0.693147,0.5,true,0.44,0.328,2.6,0.366667,0.241162,0.57,0.44,0.328,2.6,0.366667,0.154151,0.57,1,0,0,fold
0,0,1,2,true,1,8,4997,0,0.111111,0.693147,2,2,1,0.64,0.106667,0.273333,0.64,0.093333,0.266667,true,1,0,0,0,0,false,0.366667,0.273333,2.6,0.314286,0.241162,0.57,0.533333,0.44,2.8,0.457143,0.207639,0.57,0,0,1,raise
0,0,1,2,true,3,12,4995,0,0.076923,1.386294,2,2,1,0.548571,0.091429,0.377143,0.548571,0.08,0.371429,true,3,1,0.333333,0.693147,0.333333,true,0.533333,0.44,2.8,0.4,0.207639,0.57,0.533333,0.44,3,0.525,0.182322,0.57,0,1,0,call
0,0,2,3,false,0,16.5,4993.5,-0.693147,0.029412,0,2,2,1,0.537778,0.182222,0.293333,0.48,0.195,0.325,true,0,0,0,0,0,false,0.457143,0.377143,2.333333,0.32,0.064539,0.456,0.457143,0.377143,3.2,0.577778,0.382992,0.456,0,0,1,raise
0,0,1,3,true,2,20,4992,0,0.047619,1.098612,2,2,1,0.484,0.164,0.364,0.426667,0.173333,0.4,true,2,1,0.5,0.693147,0.5,true,0.6,0.52,2.5,0.381818,0.117783,0.456,0.6,0.52,3.4,0.62,0.344841,0.456,1,0,0,fold
0,0,1,4,true,1,23,4991,0,0.041667,0.693147,2,2,1,0.530909,0.149091,0.330909,0.484,0.156,0.36,true,1,0,0,0,0,false,0.525,0.455,2.5,0.35,0.117783,0.456,0.65,0.58,3.6,0.654545,0.367725,0.456,0,0,1,raise
0,0,1,4,true,3,27,4989,0,0.035714,1.386294,2,2,1,0.486667,0.136667,0.386667,0.44,0.141818,0.418182,true,3,1,0.333333,0.693147,0.333333,true,0.65,0.58,2.666667,0.4,0.105361,0.456,0.65,0.58,3.8,0.683333,0.336472,0.456,0,1,0,call
0,0,2,5,false,0,30.5,4987.5,-0.693147,0.016129,0,2,2,1,0.488571,0.188571,0.331429,0.403333,0.213333,0.383333,true,0,0,0,0,0,false,0.577778,0.515556,2.285714,0.346667,0,0.38,0.577778,0.515556,4,0.707692,0.405465,0.38,0,0,1,raise
0,0,1,5,true,2,34,4986,0,0.028571,1.098612,2,2,1,0.456,0.176,0.376,0.372308,0.196923,0.430769,true,2,1,0.5,0.693147,0.5,true,0.688889,0.626667,2.428571,0.3875,0.04652,0.38,0.688889,0.626667,4.2,0.728571,0.374693,0.38,1,0,0,fold
0,0,1,6,true,1,37,4985,0,0.026316,0.693147,2,2,1,0.49,0.165,0.3525,0.417143,0.182857,0.4,true,1,0,0,0,0,false,0.62,0.564,2.428571,0.364706,0.04652,0.38,0.72,0.664,4.4,0.746667,0.390866,0.38,0,0,1,raise
0,0,1,6,true,3,41,4983,0,0.02381,1.386294,2,2,1,0.461176,0.155294,0.390588,0.389333,0.170667,0.44,true,3,1,0.333333,0.693147,0.333333,true,0.72,0.664,2.571429,0.4,0.04256,0.38,0.72,0.664,4.6,0.7625,0.364643,0.38,0,1,0,call
