 Kd 8d 6c Qs Th Qd Qc] [ 7d Td Qh Ks 4s 3c Kc 8h 4d Ah 4c 4h 2h 9d 8c 3s Ad Ts 7h 5c 7s 9h 2d 9s 5d 9c Ac Jd As 6d 3d 6s Jc 2c 7c 5s 3h 8s Tc Jh 5h 2s Js Kh 6h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[4c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Kh 3c 6s Tc 8s 9c 2s Ts 4d Qh 6d 4c 5s 2h 8c 6h Kc 3s 7d Jc 9s Jh 5d 3d 2c 7s 3h Ks 7c 4s 8h Ac Js 5h Td 9d Ah 9h 4h 5c 2d Jd Ad As 7h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[5d, 5c]28796;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ts 6d 8c Kh 3s Jc Kc 8s 4h 9s 9d Ad 5s 5h Jh 8h Ah 7h 9c 4d 7c 3c 3d Tc 6h 7s 3h As 2h Ac 2s 2d Js Qh 4s 5c Td 4c 7d 2c Jd Ks 9h 5d 6s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[2s, 2h]28793;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2s As Ah 9h Ts 3c Kh 2d Qh 8c Td 4s Ac 2c Jh 4d 3h 9d 9s 8s 5c Tc 7c 4h Jd 9c 8h 3s Ad 7d Js Kc 7h 6d 6s Jc 6h 4c Ks 5d 2h 7s 5s 5h 3d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:94,5] ;Hero{16} ;16;b1[8h, Jh];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 8h 6d 2c 4h 5s Ts 9c Kc 8c 2h 3d 9h 7c 4d Jc 4c 7d 2d 2s 5c 3h Ks Ah 9d Kh Qh Jd 5d Ac As Js 7h 6h 4s 5h 3c Td Ad 6s 9s 7s 3s 8s Jh Tc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[6s, 6h]28797;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7d Jd 6h 4d Ad Kc 5d 2h Tc Ks 5s 2d 7s 4c 6d Td 2c Jc 8h Ts 9d 3c 5h 9c 9h Ah 4s 3s Js As 2s 6s 7h 9s 8s 3h 4h 8c 3d 5c Kh Qh 7c Jh Ac];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[2c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9c As Ad 6d 9s 3h 2d 7d 7c 4h 4s 4c 3s 5d 7s Ks Qh 3d Kh Ts 9h 5c 9d Jd 2c 3c Jh Td Ac 7h 6h 8h Kc 2s 6s Tc Jc Js 8s 5s 4d 5h 2h 8c Ah];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:94,5] ;Hero{16} ;16;b1[Js, 8c];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Ks 2c 6h 5d 8h 9d Jd 5s 9h 8s Ts 2h 4s 7d 3h Qh Ad Ac 6s 6d Ah 3c 2s Kc Kh 5h 3s 2d 7s 9c Js Jh 5c 7h 4d 8c Td 9s 4c As 4h 3d Jc Tc 7c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:94,5] ;Hero{16} ;16;b1[9d, Jd];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 9d 3d Kh 2c 7s 5d 8s 4s Qh 8c 3c 9s Tc Ks 2d 5s 4h 6d 5h Ad 4c 3s 6s 2s 4d 7h Jc Jh Td As Kc 2h 3h Jd 5c 7d 9c 9h Ts 6h Ac Ah 8h Js 7c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ah, 8c]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 5h 4s 4c 7s Ah 5s 8h 4d 7h Ad Ts 6s Ks 7d 2c 2d 6d As 4h 7c Ac 6h Js 3s 9h 3h 8s Jc 3c 5c Jh 9d 2h Kc 3d 2s 5d Tc Qh Kh 9s Td 9c Jd 8c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ad, Kc]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Td 4s Kh Js 5s Kc 4d 3h 4c 6s 5d 9s 3c 2c 6d 9c 9h Qh 5c Jd 2s 6h 3d 4h 9d Ac 8c 7c 7h 2h Jc 8h Ks As 2d Ad 8s Ah 7s 3s 7d Ts 5h Tc Jh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[7s, 7d]28798;b2;Hero[8d, Kd]17098;b0
