 Kd 8d 6c Qs Th Qd Qc] [ Jd 3h 7s 5c 4c 4s Tc 2h 5h 2s 9s 7h Js 9h 3s 7c 8s Qh 6d 5d Ks Ts 3c Ah Ad 6h 9d Jh Ac Jc Td 8c 7d 6s Kc 4h As 2d 8h Kh 5s 2c 9c 3d 4d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[As, Kc]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9h 7d 4h 8h 5d Kc 3c 9c 9d Ts 4c 6d As 3d 8s 6s 6h 3h Qh 5h Tc 7s Ad Jd 4d Ks 7c Ac Td 2s Jc 2d 4s 5c 3s 5s 7h 9s Jh 8c 2h Kh Ah 2c Js];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[9h, Jh];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 4d 6d Ac 5c 3d Kh Jc 2d 9d Ah 4h 9s 7d 4c 5h Tc 7h 5d Ks 3h Js 6s Td 2h 6h 4s 2c 7c Ts 7s 8c Jh Kc Ad 9c 8s 8h As 5s 3c Jd 2s 3s 9h Qh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Ts, Ks]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9h 3h Qh 2h Jd 5c 4s 6h Jh Jc 3c 4c 6s 8c 2s 5s 9s 7d 9c Tc 7h 3d Ad 8s 9d 5d Kc 3s 7s Ks Td 7c 8h 5h Kh Ts Ac 4d Js 2d Ah 4h 2c 6d As];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[8h, Jc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ As 8s 3h 4d Jd Kh 5s 6d 4c Ac 8c Qh 6h 5h 5d 9d 9s Js Ad 2s 3d 2c 7h 7c 2h 9c 5c Jc 4h Ks Ts 9h 4s Ah 2d Jh 3c Tc Kc Td 8h 6s 7d 3s 7s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[8s, 9c];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Kc 6h 7c 8h Td Jc 4c 5h 5s 5c Js 6s 9c 3s Ts 9h 8c Kh 2s Jd Jh Ac 7d 2c Qh 8s Ah 3c 9d 4d 6d Tc 9s 3d 5d 4h As 4s 7h Ad 2h 7s 3h 2d Ks];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[9h, Ah]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ad 5c 7d 9h Jd 4h 8h 3c Ts Ah Tc 2d 8s 3d Ac 2h 8c 7c 9c 4c Ks 6s 6d Js 3h Td 7h 5d 7s 3s 9s 2s Kh Qh 5h 4s Kc Jh 4d 5s 9d Jc 2c 6h As];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[9h, Kh];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Jd As 3h Qh Ks 7c Ad 2d 4s 5s Kh 5c Td Ac 9d 2s 7h 5d Ts 8s Ah 2h 6d 3c Kc 6h 4d 3d 9h Jc 7s 6s 8c 3s 2c Tc 8h 4c 4h Js 7d 5h 9c 9s Jh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:85,14] Hero[f:88,11] ;{10} ;-10;b1[Js, 9c];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Qh 3h Jd 9s 9d 2s 7d Tc 3s Ts 2c Kh 4s 4c Kc 5d 4d Js 4h Td Jc 5s 6d 7c Jh 3c Ah Ad 8h Ac As 9c 7h 2h 3d 8s 5h 8c 2d 5c 6s Ks 6h 9h 7s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[Jc, Kc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Ad 2c 4h 9s 2h Kh Ah Jd Kc 8c 6h 3s 4d 5s 5d 9c 9h 7d Ts Qh 3d Jh Ks 5h 9d As 7c Jc 4s 8h Ac 2d 6d 4c 3h 3c 2s 6s 5c 7h 8s Js Td Tc 7s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:85,14] Hero[f:88,11] ;{10} ;-10;b1[9s, Js];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 2d As Ac 4s 5d 8h 5c Kh Qh 2h 4h 6h Js 8s 5s Tc 7d Kc 3s 9h 8c 3h Ad Jh Jd Ks 7c 9s 9d 9c 6s 2s Jc 4d 7h 7s 4c 6d 2c Ah 5h Ts 3d 3c Td];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[8s, Jc];b2;Hero[8d, Kd];b0
