 Kd 8d 6c Qs Th Qd Qc] [ 7c 9d 3s 5s 2d 8h Ts Ah 5h 2c Js 4s Qh 8s 4c Jc 9s 8c 4h 5c 3d 7s Ks Kc 2s 5d As 9h 3c 7d Tc 4d Ac Jd Jh 2h Kh 6s Td 6h 7h Ad 9c 6d 3h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[9d, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Jd 8s 5c 2d 6d Jc 4d Ad 5d 9c Ah 2s 7c 4c Kc 3s 8h 7d 5s 3h Td 7s 4s 2h Ac 3c 2c 9s Tc 6h 7h Ts Kh Qh 6s 5h 9d Jh Js 8c 3d As 4h Ks 9h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:89,10] ;Hero{16} ;16;b1[8h, Jd];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 3s Kc 2h Jd 9s 3h 3d Ad 4s 5s 6h Ah 8s 4c 8c 9h Tc 9c As Qh Kh 4d 5c Js 5d 9d 4h 7h 6d 6s 8h 3c 2s Jh 7s 5h Td 2c Jc Ts 7d Ac 7c Ks 2d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:89,10] ;Hero{16} ;16;b1[8s, Js];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Ks 4d 4h 9c 3s Tc 9d Ah 6d 3h 2s Td 2h Ac 7h Ad As Js 6s 2c 9h 8h 3c 7d 5h 4s 5d Kc Ts 5c 5s Kh 3d Jd 4c Jc 2d 7c 8c Qh 7s Jh 6h 8s 9s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:89,10] ;Hero{16} ;16;b1[Jh, 9c];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 2s 3h 6h Qh Jc 4h 9d 7h 3s Tc 5h Kh 9h Ks 5s Ah 2h 4d 9c 5d 8s 8h Ts 3d 6d Td 9s Js 6s 5c 8c Jd 4c As Kc 7c Ac 2c 2d 4s 7d 3c 7s Ad Jh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:89,10] ;Hero{16} ;16;b1[Js, 8c];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 9h 7s 2h Ad 4d 6d 7h Jd 4c Td Jc 3c 8h 2d Jh Qh 6s 5s 9d Ts 9s Kc 3d As 9c Ks Tc 8c Ah Ac 7d 7c 3s 3h 5h 2c 6h 4h 4s 8s Js Kh 5d 5c 2s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Jh, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2c 9s 9d Ks Jc 6h Kc 2d Jh 8c 7c Td 8h Qh 2h Tc 3d Ah 4s As 4h Js 4c Ac Ad 2s 5s 5c 7s 5h 7d 7h 3h 9h 9c Jd 4d 6d 3s Ts Kh 3c 8s 6s 5d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[8s, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9d 6d 6h 8h 7h Qh 5c Ac 9c Ks Kc 9h 7c Kh 6s 8c 3d 4s 3s Js 9s 5s 5h 2c As Jc Jh 7d 5d 4d 3h 4h 4c Ah Ad 2h 2d 8s 7s Td Jd 2s 3c Tc Ts];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Js, As]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 5h 8s Tc 2h Jh 3c 7s Jc Qh 4c 7c 9c 9d 4s As Ah 5d 4h 9h 6s 5c Td 6h Ac Ts 5s 6d Kc Jd 8h 9s Kh 7h 3s 2s 8c 4d 2d Ks Ad 2c 7d 3h Js 3d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[5s, 5d]28796;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 8c 2h 6h 7d Kh 4c Td 7s 4h 9d As 5c 3s 5d Ad 4s 8s 4d 3h Jh Ks 3c 9h 7c Ah 8h Tc Qh Jd 2s 2c 2d Ts 5s 9s 5h Jc 6d 6s Js 3d 9c Kc 7h Ac];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Jd, Jc]28802;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9h 6s 6h 8h Jd 4s 9d 7h As 3d Kh Js 3s Tc 4c 9c 2s Ad 8c 7d Ac 5d 8s 9s 6d Kc Qh 4d Jc Ks 3h 5s 2h Ah Ts Jh 4h 5h 5c Td 7s 7c 3c 2d 2c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ts, Jd]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2s 3d Ac Js Tc 4d 6h Ks 3h 5d 9s Jh 7s Kh As Ts 3s Jc 7c 4h 4c 5c 9c 4s 2d Ad Td 7h 3c 8c 5s 2c Ah Kc 8h 2h 9d 6s 8s 7d 9h Qh 5h 6d Jd];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ah, Jd]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Td 2h 9h Qh Js 3d 3s 7d 8h Ad 7s Jc Ts Tc 3h 2c Ac 8s 9s Ks Jd 6s Jh 8c 5c 2d 7h 9d Kh Ah 5h 5d 4c 6d 6h 2s Kc 4h 7c 4d 9c 4s 3c 5s As];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[2s, 2d]28793;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Qh 4d 7d 8s As Js 2s 2c Ac Ks 7c 2h 6h Jd 4s 7h 5c 4c 9h Ts 3h 8c Jc 3d Tc 5d 3c 3s 6d 2d Kc 9c 6s 5h Kh Jh 9s 9d 5s 4h Td 8h Ad Ah 7s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[4s, 4h]28795;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Js As Ah Ad 8h 7h 8c 2d 6h 2h Ks 8s 5c 7c Td 7s 4d 9h Qh 9d 7d 5d Jc Ts 4h Ac Jd 3h 3d 2s 9c 5s 4c 9s Tc 6s Kh Kc 4s Jh 6d 3c 5h 3s 2c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Jd, Ad]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2s 2c Jc Td 8c Ks 3s 9s 9h 9c 5h 7c Jd 3d Js 6s Jh 6d 2h Qh 7s 4h 3c 5d 2d 6h Kh 4s 7d 4c Tc Kc 8h As 9d 5s 4d Ts Ah 7h 5c Ac 3h 8s Ad];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[5h, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 8h Jd Qh 8s 6d 9h Jc 7c 4h Ad 4c As Ah 7s 2s 9c Td Js Tc 3h Ac 6s 3d 7h 5c Kc 9s Kh 2h 2c Jh 3s Ts 7d 4d 3c 8c 5d 2d 9d Ks 5h 6h 5s 4s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[9s, As]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 6h Qh 3h 8c Kc 9d Kh 7s 7c 5d 7h 4s 8h Js 2h Ac 6s As 2d Jh 7d Tc Ad 3c 9s Jd 5c 6d 5s Td 4c 9h 3s Jc Ah 8s 3d Ts Ks 4d 2s 2c 4h 9c 5h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[9h, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Jd 4h 5s 4s 2s 2h 3h 9s Ks 6d 3d 5h 8s 8h 6s Jh 6h 3s Qh Ts Js 9d Jc Ad 8c 3c 7h 5d 5c Ac Kh 2c 7s 9c Kc 9h Ah Td 2d Tc 7d 4c 7c As 4d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ah, Td]28801;b2;Hero[8d, Kd]17098;b0
