 Kd 8d 6c Qs Th Qd Qc] [ Jc 2c 4c 7d 3s Qh 5c 3c 7c Tc 3d 8h Jh Ac 5d 2d Ad Jd Ks 9s 9c Td 8c 4h 2h 4s 6d 3h 4d 6s Kc 7h 7s As Kh 9h 5h Ts 9d Js Ah 2s 5s 8s 6h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ah, 5c]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Td Ac Jh 4s As 6d 3c 2d 9d 7h 8s 6s Kc Jc 3d 5h 9h 8h 4c Ad 3s Ks 4h Tc 7c 7s 2c Jd 3h Js 5s Ah 4d 6h Kh 7d 5c 8c 5d 2h Ts 2s 9s Qh 9c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[7d, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3c Ac 5s Ah Qh 2c Jd 5c 8c 4s Js 6h 6s 7c 2h 9s 7h Jh As Kc 3d Kh Tc 4c 2d 8h 8s Td 9d 7s Ks 7d 4d Jc 5d 9h 5h 4h 2s 6d 9c Ad Ts 3s 3h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Kh, Ah]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 6d 8c 4d 3h Jd Ah 4c 6h Jc Ks Ad 2s Ac 4s As Qh 7s Ts 4h Js 7c 3s Td 9s 5d 7d 9h 3c Jh 5s 9c Kh 2d 5h 9d 8s Kc Tc 3d 7h 2h 8h 2c 5c 6s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ah, Ac]28804;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ks 2s 4h Kc 7s Tc Td Qh As 9h 7c Ah Ad 7d 5d 2h 6d 3s 2d Jd Ts 4s Js 7h 2c 4c 8c 3h 8s 9d 4d 5s 6s Ac Kh 5h 9s Jh 3c Jc 5c 3d 9c 8h 6h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[9h, 9d]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3d 9c Ts 5h 5d Jh 2c 3c 5c Td 5s Qh Js 8h Ks 8c Ac Ah 4d As 9d 2s 6h Ad 2d 2h 9h 4c 4s 7s 7h 9s Tc 6d 3h 8s 7c 3s 7d 6s Jc Kh Kc Jd 4h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[As, 7h]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ac 2d 2h Ad Tc 7h 5s 2c 3h 5d Kc 9c 7s Jd Ts Jh Js 3s 9s 4d 3c 8c Qh 4h 5c Jc Ah 4s 7c 8s 2s As 6h Ks Td Kh 4c 6s 7d 6d 8h 5h 3d 9h 9d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[6d, Ad]28797;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Tc Jd 7c 9s 7d 7h 9c Kh 2d 4h Ts 5d 3s 8c 6h 6d 5c 2c 2s Td Kc Ks 6s Js As Jh 9d 4c Ad Jc 5h Ah 9h 2h Ac 4d 5s 7s 8s 8h 3d Qh 3c 3h 4s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[7h, 7c]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Jh 4s 5d 4d 7d 2h Ac 3h 8c 6s 5h 7s 6d 7c Ks 8s 3d 9s Kh 5s As 4h 4c 9h Ad 5c Tc Kc 7h 2d 6h Td 2s Ah 3s Jd 9d 2c 3c Js Qh 8h Ts 9c Jc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:94,5] ;Hero{16} ;16;b1[9d, 8c];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Qh 3s Jh 2s Ad Jc 5h 9c 9h 5c Ks 3h 7c 8s Ac 8c 6s 9d 2d As 3c Jd Ts 9s Kc Ah 4s Td 7d 5s 6d 2h Js 3d 2c 4d 6h Tc 4c 7s Kh 5d 7h 8h 4h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[9h, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9s 7d 4s Qh Tc 3s 7c 4h 5c 8s Js Kc As 3d 6d 7h 8h Ks Ah 5h Jh Td Jc Jd 2d 9d 4c Kh 6s 7s 9c 6h 4d Ad Ac 5s 2h 3h 5d 2s 9h 3c 8c 2c Ts];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[8c, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7s 4h As Tc 7c 4d 6d Ks 8s Qh 5c Kh 6h Ts 9d 3d 3c 4s 9s Jd Jh 8h 6s 5s 5h Ah 4c 8c 2s Js 5d 2h Ad Kc Td 3s 2d Ac 3h 9c 2c 7h 7d 9h Jc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[9s, 9d]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 8s 9d 2h Tc 5c 4c 8c 6s Ks 2c 7s 4h 5h Ac 9c 3c 4s 9s Td 7d 6d 9h 5s 2d 7h Ts Jd 2s Kh Jc 3d 5d Qh Jh Ah Ad 3h 3s 8h 6h 7c Kc As Js 4d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ah, 5d]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 6h 5h Js 3c 5c Jc 8h 6d Ks 2d 2s 5s 9c 8s 4d 2h As 5d 4h Ac Jh 7c 7h 4c 3d 3h 7d Kh 6s 2c Tc Ad 9h Qh Ah Jd 8c 3s 7s Kc 9s Td Ts 4s 9d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[2d, 2c]28793;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3c 2d Ad As 2h 4h Js Jc Td Jh Ks 9c 6d 6h 5d 9d 4s 5h 3d 9s 9h 4d Jd 7c Ts 7s 8c 4c 5c Qh Kc 3h 6s 3s 2c 7d 7h 2s Kh 5s Ah 8h 8s Tc Ac];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Td, Kc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Kh 7s 6s 9d Jc 5c 3c 3h 8c 5s 4c 4h 4s Ah 2h 6h As 5d 8h 7h Qh Ad 4d 2c 5h 9c 7d Jd Td 8s 2d 7c Jh 2s Ks Kc 9h Ts 9s 3d 3s Tc 6d Js Ac];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[As, Ad]28804;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2h 7c Ts 5c 6h Ac 2c 3h 4d Td 4s 9s 9d 5s Ad Jc 3d Qh Tc 9c 8s 4h 3s 4c Kc 7h As 3c 7s 2d Kh 5d Ah 6s 5h Jd 6d 8h Ks 2s Jh 7d 9h 8c Js];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Tc, Kc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7d 3h 4h 8s Qh 7s 9h 7h Ts 6h 3c 4s 5h 3d 2s Kc 3s As 7c Td Js 9c 9d Ad 2h 5s 2d 9s Tc 8h Jc 4d 8c Ks Ah 2c Ac 6s Jd 5d 6d Kh Jh 4c 5c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:94,5] ;Hero{16} ;16;b1[8s, Jc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Jh 4s Ad 6h 4h 9c 9s Kc 8s 2s 8c Jd 3d Ah 7c Tc 7s 5s 3h Jc 7d 5d 6d 9h As 2h 3s Ts Js Ks 6s Kh Td 8h 5h 5c 9d 7h 2d 4c Qh 3c Ac 4d 2c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ks, Jc]17099;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7h 2s 3c 2d 8s Ac 9s Ks Td 4d Tc 5c 4h Kh Qh 9h Jd 3d 9c As 3s 2h 5d Js 7c 4c 7d 5h 6d 7s 8c Jh 6h 2c Kc 4s Ah Ts 3h Jc 8h Ad 9d 6s 5s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;--18;b1[Ah, 6d]28797;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3s Ac Ad 8h 7d 6s 3c Jc 2c Jd 5d Ks 9s 2d 2s Ah Ts 7s 9h 6d 5c As 4s Js Tc 9d 6h Td 5h 2h 7c 8c 8s Qh 3h Kc 3d 4c 5s 4d Kh 7h 4h Jh 9c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Js, Ac]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 8s 4h Ts 7h 6h 9c 4s Kh As Jh 2c Jd 3h 2h 3c 5h Js Qh Ah Td 5s 4d 7d 2s 2d 8h Ks 5d 5c 9h 9d Tc 7c 3s Ad Jc 8c 6d Kc 4c 9s 6s Ac 3d 7s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[8s, Ts]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3c 4s 7c 5d 4d 9s 2c 4h 9d Qh 8c Ah 8h 2d 5c Js 7d 6h 5s Tc 4c As 2s 9h Ac Ad 3d 9c 2h 7h Td 8s 3h Jc Jd 3s Kc 7s 6d 6s Kh Ts 5h Ks Jh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[7d, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ac 2s Ks 6s 5d 5c 3h Js 2h 8s 9c 9d 7s As Qh Td Jc 9s 7d Tc 4h 5h 8h Kc 3c 9h 2c Jd Ts Kh Ah 3d 3s 6h 6d 8c 7h 4c Ad 4d 2d 4s 5s 7c Jh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[As, 9c]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Qh 7c Tc 8s Kc 7d 4h Jh 4s 3h 9c 9d Ks Td 5h 2h 3d Ah 6d Jc 7h 2c 9s 8h Ac 4d 5s 2d 7s Kh 5d 6s Js Jd As 3c 5c 2s 9h 8c Ad 3s 6h 4c Ts];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[2s, 2d]28793;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 5s 8c Jh 7c 5d 2d Kh Ts Td 2s Ah 3c Jd 8s As 4h 4s Qh 6d 7d Kc Ac 9c 7h Tc 9d Jc 3d 4d Ks 8h 6s 3s 6h Ad 9s 9h 5h Js 2c 5c 4c 2h 7s 3h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[6s, Ad]28797;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ As Kh 9h Ks 3d 7h Kc 4d 5d Ah 9c 3s 4c 5c 7c 9s 3c 7s 8h Tc Jh 8s 7d Ts Jd 6s Ad Js 6d 4h 3h 9d 2d Td Ac 5h 5s 8c 2h Qh 4s 2c Jc 6h 2s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:94,5] ;Hero{16} ;16;b1[9d, Jd];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 3c Js 6d 2s Ah 5d 2c 9h Qh 7s As 6h 5h 8c Ac 9d 2h 9s Tc Jc Kc Ks 5c 4d 3h 8h Ts 4s 6s 5s Jd 7d Kh 4h 7c 3d 3s 8s Ad Td 4c Jh 7h 2d 9c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[5d, 5c]28796;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4c 7s 9h 9s 5s Jd 3d 2d 4d Ah 8c 7h As 8s 5d Kc 2c 9c Jc 2h Js Ks 7c Kh Ac 6h 3h Qh Tc 3c Jh 5c 5h 4h Td 8h 9d Ts 2s 6s 3s Ad 6d 7d 4s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ts, 9h]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9h Ad 8h Jh Ah 3d 2s Kh 3h 3s Js 7d 2c As Ts 4d 7h Tc 2h 4s Jc 5h 4h Jd 3c 8c 2d 6s Qh Kc 7s 7c 9d 6d Ac 5s Td 8s Ks 6h 5c 5d 9s 9c 4c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[As, Jc]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 6h 9s 5s 3c 4c 9h 7s Jh As 2s Jd 3d Tc Jc 8c Td 6d Kc Ts 4d 5h 4s 2c 7c Kh Ad 8s 2d Ac Qh Js 5c 3h 9c 9d 8h Ah 7h 7d 6s 4h 5d 3s Ks 2h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ts, Ad]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2s 5h Tc 4h Qh 8s 7s 2h 3d As 8c Jh Kc 4d Kh Jc 6d 2d 9h 7c Ks Ac 5d 9c Jd 6h 4c 3c 7d 3h 6s 3s Td 5c 5s 4s 9d 7h 9s 2c 8h Js Ah Ad Ts];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:8,78] Hero[c:0,9] ;b1(46) ;-22;b1[Tc, Kc]28801;b2;Hero[8d, Kd]17098;b0
