 Kd 8d Th Qd Qc] [ 6c 3s 3c 7d Kc 9d 8s Jc 4c 2c 9s 6s 6h Kh Ah Td Ks 2s Jd 4s Js As 9c 2h Qs 8h Tc Ts Qh 5d Ad 7s 4d 7c 5c 7h Jh Ac 3d 8c 3h 9h 5s 5h 6d 2d 4h];[Qc, Qd, Th, 6c, null];null;null;b1[r:13,9] Hero[f:86,13] ;null;{4} ;-4;b1[3h, Kh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Td 2d 4s As Ac 2s 5s 8h 4d 5d Jc Jd 9s 9d 8c 9h Ah 8s 4c 6h 7d 7h 3c Qh Kh 5h Js 4h 3d 7s Jh 9c 2c 2h Ad 6s Kc 5c 6d 6c Ts Qs 3s Ks 3h 7c Tc];[Qc, Qd, Th, Td, 2d];null;null;b1[r:12,66] Hero[c:0,27] ;b1[c:14,64] Hero[r:0,77] b1[c:4,5] ;Hero(14) ;14;b1[As, Ad]13133;b2;Hero[8d, Kd]25313;b0
 Kd 8d Th Qd Qc] [ 2h 3s Jc 5h 7h 7d 5s 8h 5c Tc Ks As 3h 4h 7s 8c 2d 9h 6d 4d 2s 3c 9c 6c Jd 9s 8s 4s 7c Ac 9d 6h Ad Kh Td Js Jh Kc 5d 3d Qs Ah 6s 2c Qh 4c Ts];[Qc, Qd, Th, 2h, 3s];null;null;b1[c:13,9] Hero[c:0,27] ;b1[c:14,64] Hero[r:0,77] b1[f:4,5] ;Hero{6} ;6;b1[2c, 6c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 8c 4c Qs 3c 3d 2h 7h 6d Td Jh 6s 6h 9s 8s 9c Tc 7c 4d 9h Ks 9d 8h 7s 3s Ac Qh 5d 3h Jd 5c 4s 4h 6c 2c Js Ts As Ah 5s 7d 2s Kc Jc 5h Kh 2d Ad];[Qc, Qd, Th, 8c, null];null;null;b1[c:13,9] Hero[r:6,79] b1[f:77,17] ;null;Hero{6} ;6;b1[9s, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2s 6h 7d Kh Ad 6d Jh 7c 3h 4s 8c 2d As 5d 7h 4c 6c Js 8h 7s Ks 5c 3d Ts 9c 4d 5h Td Ah 3c Qh 5s 3s 2h Qs 6s 2c Ac Jc 9d 8s 9s Kc 4h Jd Tc 9h];[Qc, Qd, Th, 2s, null];null;null;b1[r:12,66] Hero[f:86,13] ;null;{4} ;-4;b1[4s, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 8c 9c 6h Td 6d 3s 9s Tc Ah Kc 8s Qs 6s 5d 7s Jd 5h 2d 3d 2h 6c 7d Ts 4h 3h 7c Ad Jc 2s 4c 9d 9h Ac Ks Qh 3c 5s Kh Jh 2c As 4s 7h 4d 5c 8h Js];[Qc, Qd, Th, 8c, 9c];null;null;b1[c:13,9] Hero[r:6,79] b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;Hero(10) ;10;b1[4c, 8c]1590;b2;Hero[8d, Kd]12859;b0
 Kd 8d Th Qd Qc] [ 8s 7d Js 2s 2d 6d 8c Qh Ks Jc 3c Jd Ts 5s 7s Kc Tc 4h 7h 3s 9c 9s 5h Qs Ac 2h 4s 6c Td 4d 4c 7c 5c As Jh 9h 5d 3d 6h 8h 9d Kh Ad Ah 3h 6s 2c];[Qc, Qd, Th, 8s, 7d];null;null;b1[r:12,66] Hero[c:0,27] ;b1[c:4,5] Hero[r:0,77] b1[c:4,5] ;Hero(14) ;14;b1[8h, 9d]12857;b2;Hero[8d, Kd]12859;b0
 Kd 8d Th Qd Qc] [ 9d Ah Qh 2h Td 7h 8h Jh Kh 4c Jc 5c 6c 7c As 3d 7s Ad 6d Kc 9h Js 3s Ts 5h 6s 3c 5d Tc 2s 9s 4h 3h 2c 9c 4d 6h 4s 8s 8c 5s 2d 7d Qs Jd Ac Ks];[Qc, Qd, Th, 9d, Ah];null;null;b1[c:13,9] Hero[r:6,79] b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(18) ;-8;b1[7c, 9c]12871;b2;Hero[8d, Kd]10611;b0
 Kd 8d Th Qd Qc] [ Jd 7s 7c 5h Ts 4c 8c 2c 5c Jh 8s 6h 3d 5s Js Kc 3h 9s 6c Ad 3c 4h 6s 7h 8h 2h Ac As 7d Ks Ah 2d Jc 3s Qh 2s Qs 9c Tc Td 4d 6d 5d 4s Kh 9h 9d];[Qc, Qd, Th, Jd, 7s];null;null;b1[r:12,66] Hero[c:0,27] ;b1[c:4,5] Hero[c:0,17] ;b1(18) ;-8;b1[5h, Jh]12891;b2;Hero[8d, Kd]10557;b0
 Kd 8d Th Qd Qc] [ 9h Ks 4h Ah Jc Td 9d 2h 6s 3c 7c 4c 6h 7d 6c 3h Ad 2d Jd 5d 5h Tc 3s 9c 8h As 3d 8s Qs 2c Kh 9s Js Ts 5s Jh 2s 7h 4s Qh 4d 6d 5c Ac 8c 7s Kc];[Qc, Qd, Th, 9h, null];null;null;b1[c:13,9] Hero[r:0,27] b1[r:12,66] Hero[r:0,27] b1[f:77,17] ;null;Hero{14} ;14;b1[4h, 5d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Qs 2d Td Kc 9d 8c Ks 9c 5c As 8h 9h Js 7h 6d 3h Ah Ac Qh 3s 2c 3d 5d 6c 8s 5h Jc Jh 4c Tc 4d 9s Ts 4h 4s Jd Kh 6s 5s 6h 2h 3c 7s 2s Ad 7d 7c];[Qc, Qd, Th, Qs, 2d];null;null;b1[c:12,66] Hero[r:0,27] b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(18) ;-8;b1[9s, Ts]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Th Qd Qc] [ 5h 3s 2s 6h Td 5c 3h 4d 4h 2d 3c 5s Ah 6c 6d 9c 2c 7c 9h Qs 4s Kc Qh As Ts 6s Ac Jd Ad 3d 7h 5d Tc Ks 4c 8s 2h 9s 7d 9d Js Jh 7s Kh 8c 8h Jc];[Qc, Qd, Th, 5h, null];null;null;b1[r:12,66] Hero[f:86,13] ;null;{4} ;-4;b1[4h, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Jh Ah Ac 9d 7s 5h Ks Qh Ad Jd Jc 6c 2s 2d 5d 2h 4h 6s 7h 7c Ts 9s Kc 9h Tc 3h 4c 6d 2c Js 5s Qs 8h 4d 8c 3d 6h Kh As 5c 7d 9c 4s 3s Td 3c 8s];[Qc, Qd, Th, Jh, Ah];null;null;b1[c:13,9] Hero[c:0,27] ;b1[r:14,64] Hero[c:0,17] ;b1(18) ;-8;b1[3h, 4h]25544;b2;Hero[8d, Kd]20490;b0
 Kd 8d Th Qd Qc] [ As Ad Js 8c Kc Td 8s Ts Qs 6h Jd Ks 4h 7c 7s 3d 2s 5d 9d 9h Jc Kh 2d 9c 2c 3c 3h 6d 5s 4c 8h 5c 4d Qh 5h 3s 9s Ac Jh 4s Ah 6c 7h 2h 7d 6s Tc];[Qc, Qd, Th, As, null];null;null;b1[c:13,9] Hero[r:6,79] b1[f:77,17] ;null;Hero{6} ;6;b1[7c, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Td 8c 8s As Jd 6s Ts 3d Ac 6h Ah 7h Ad Qh 7d 4h 6d 7c 3c 3h 5s 5c 9d 8h 9h Kh 5h 4s 9s Jh Tc Js 6c 2c 7s 3s Kc 4d 2s Ks 2h 9c 2d 5d Qs Jc 4c];[Qc, Qd, Th, Td, 8c];null;null;b1[c:13,9] Hero[r:6,79] b1[r:13,9] Hero[c:0,27] ;b1[c:4,5] Hero[c:0,17] ;b1(26) ;-12;b1[3h, Ad]12882;b2;Hero[8d, Kd]12881;b0
 Kd 8d Th Qd Qc] [ 5s Tc 4d Js 6s Jd As Ah 5h 7s 2s 6d 2h 2c 5c 4h 4c Ts 9c Jh 7h Qs Ac 3d 3h 3c 3s Kh 7c 8h Kc Ad 4s 6h 8c 5d Qh 2d 9h 9s Ks Jc 6c 8s Td 9d 7d];[Qc, Qd, Th, 5s, Tc];null;null;b1[c:13,9] Hero[c:0,27] ;b1[r:14,64] Hero[f:92,7] ;{4} ;-4;b1[3d, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Kc 2s 9d 5s 3c 8c 3d 7d 6h 3h 4s 9s 8h 8s As 6s Jc 5h Ac 6c Qh 7c 9c Ts Ks 2c Jd Td 4h Jh 7h 7s 5c 6d Qs 5d 3s 9h 4c Tc Kh 2d Ad 4d 2h Ah Js];[Qc, Qd, Th, Kc, null];null;null;b1[c:12,66] Hero[r:6,79] b1[f:77,17] ;null;Hero{6} ;6;b1[2d, 3d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3s Jc 2h 9d 7s 5h 7c As 7h 3h 6c 6d Kh 9c 5d 4h 4s 6h 3d 5c Ac Jd 4c 9s 8c 6s Tc Qs Kc Qh 8h Js 3c 8s 2s Td 4d Ts 9h Jh 5s Ks Ah 7d 2c 2d Ad];[Qc, Qd, Th, 3s, null];null;null;b1[r:12,66] Hero[f:86,13] ;null;{4} ;-4;b1[Ts, 5c];b2;Hero[8d, Kd];b0
