 Kd 8d Th Qd Qc] [ 9d 6s 5s Td Kh Ts 3d Qs 4h Jd 2d Jc 6c Ah Tc 5c 6d Ac 3h 7d Jh 3s Ks 9s Ad Kc 4c 4s 9h 8s 5d 7c Js 2h 2s 2c Qh 3c 8c 9c 6h 7s 8h 5h 4d 7h As];[Qc, Qd, Th, 9d, null];null;b1[c:6,6] ;b1[c:8,5] Hero[r:0,16] b1[f:87,9] ;null;Hero{8} ;18;b1[6s, As];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 5h 7s 2s 5c As Ac Td 9h Qs Js Ah Ks 4h 5d 3s 2c 7c 4c 8c 6d Ad 6h 7h 8s 5s 3h 8h 4d 9c 2h 3c 2d Kh Qh 9d Ts Jh Jd 4s 6c Kc 7d 3d 9s Tc 6s Jc];[Qc, Qd, Th, 5h, null];null;b1[r:6,6] Hero[c:0,16] ;b1[r:7,80] Hero[f:92,7] ;null;{8} ;-8;b1[Ts, Jh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ac Td Jh 9d As 8h 9s 5h 2s 4c Kh Ad Ks Kc 3c 6h 5c 3s 2d 4d 9c Qh 4h 6d 2h Js 7c 7h 5d 5s Ah 2c Tc 6s 9h 7s 8c 3d Jc Ts Jd 7d 8s 4s 6c Qs 3h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7h, 9h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ts 6s Jh 5h 7c 6h 9d 5c Kc 4d 8s Ah Js 3d As Jd 5s 9s Tc 2c 3c Td 2d Ad 2h 7h 9c Jc 4c Ks 8h Ac 6c Kh 4s 3s 6d 5d 2s 7d 9h 7s Qs 8c 4h 3h Qh];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[2d, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3h 6c Kc 6d 2c Td 3c 2d As Qh 8h Jd 7s 5c Ac Tc Js 8s 9s 5s Qs 2s Jc 4h 9d 7h 9c 6s 2h Ts Ks 7d 6h Kh Ad 3d Ah 7c 5h 4d 4c Jh 8c 3s 9h 5d 4s];[Qc, Qd, Th, 3h, 6c];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(14) ;-6;b1[7s, Ad]10591;b2;Hero[8d, Kd]10547;b0
 Kd 8d Th Qd Qc] [ Kh 6d Js 6s Td 9s 2d Jd Ks Jc Ad Ts Kc 4h 7d 8s 2c 3d 8c 2s Ah 9d 7h 4s Tc 6h 6c Jh Ac As 4d 5h 4c 7c 9c 7s 5d 3c 3s 3h 5c 5s 8h 9h Qh 2h Qs];[Qc, Qd, Th, null, null];null;b1[f:6,6] ;null;null;Hero{6} ;6;b1[8h, Jd];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 8c 3s 2d Td 6h 9s As 3h Jc Js 6s 4h 4s Ah 6d 9c 4d Qs Jh Tc Qh Kh Ad 6c 5d 7s 7c 2c 8h 5h Kc 9h 8s 3c Jd Ts 5s 5c Ks 4c 7h 3d 2s Ac 2h 7d 9d];[Qc, Qd, Th, null, null];null;b1[f:6,6] ;null;null;Hero{6} ;6;b1[Js, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ks 8h 2s 3s Qh 3h 6s 8c 7c 8s 4s Qs Kh Ts 6d 5s 5c 7h 3c 4c 7d 5d Tc 5h 3d Jh Kc Ac 9s Ad 6h Jc 4h Td 4d Js Jd 9d 2c 2h 9h As 2d 9c Ah 7s 6c];[Qc, Qd, Th, Ks, null];null;b1[c:6,6] ;b1[c:8,5] Hero[r:3,88] b1[f:8,5] ;null;Hero{8} ;8;b1[9d, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ad Jh 9s 2s 4c 4s 4h 9h Ts 2d 8s 6c 8h 6s Jd 7s 4d 3c Js 5h 9d 3h Ah 7d Jc 5d 6d 5c Kc 3s 2h Td Qh Kh As 2c 3d 6h Ks Tc Qs 7h 5s 8c 7c Ac 9c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3h, Ah];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Tc 5h Kc Td 3d 9c 3s Jc 5c 5d Kh 4d 4s 3h 9h 7s 6c 6h Js Qs 6s Ah Ts Ks 2s Jd 9d 2c 5s Ad 6d 8c 4c 8h 4h Qh 7h Ac As 8s 9s 2d 3c 2h 7d 7c Jh];[Qc, Qd, Th, Tc, 5h];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(14) ;-6;b1[Qs, 5h]28801;b2;Hero[8d, Kd]12881;b0
 Kd 8d Th Qd Qc] [ 9c 4d 7s Kc Qh 7h Kh 9h 6d Ad 5h Td Ts 6c 8s 2s 5c Js As Ah 6s 5s 2c Jc 4s 9d 8h 2d 3c Qs 3d 7c 4c 7d Ks Jd 3s Tc 9s 2h 5d 6h 3h Ac Jh 4h 8c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7h, 6c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ As 4d 9h Jd 5h 4c 6h Ah 8h 4s 2h Js 8s Kh 7h Ts 9c Jc 2d 8c 7c Jh 3h 2s 9d Qs Ac 6s 6c Td Tc 5c 3s Kc 3c 5d 6d Ks 2c Ad Qh 7d 5s 4h 7s 9s 3d];[Qc, Qd, Th, As, 4d];null;b1[r:8,75] Hero[c:0,16] ;b1[r:7,80] Hero[c:0,16] ;b1[r:8,78] Hero[f:96,4] ;{12} ;-12;b1[Qs, Kh];b2;Hero[8d, Kd];b0
