 Kd 8d Th Qd Qc] [ 6c Jd 7c Jc 5c 6d As 3c 6h 5d Jh 9s 3d 8s 7s 4d Tc 3h 6s 9c Ah 4h Ts 8c Js Qs Kh Kc 9h 2s Ks 7h 4c 7d Qh 5s Ac 4s 2h Td 5h 3s 9d 2d Ad 8h 2c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[9d, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9d 7s 3h 6h Td 5s Jc 9s 8c 6s 4d 7c 4c Qh Tc 2h Ah 3s 2d 4h 6d Jd Kh 8h 5d 6c Ac Qs 9c 9h 7d As 5c Ks 5h 2c 8s 3c 7h Kc Jh 2s 3d 4s Js Ts Ad];[Qc, Qd, Th, 9d, 7s];null;b1[c:17,17] ;b1[c:16,57] Hero[c:0,36] ;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[Js, Jc]12891;b2;Hero[8d, Kd]10548;b0
 Kd 8d Th Qd Qc] [ 3h Jd 7c Jc 8s 5d Td Ad 6c 2h 4s Ts Qs Ks Kc 4c Tc Kh 4h 2d Qh 6s 4d 7s 5c 9s 5h 9h 9d 7d Ah 5s 3c As 3d 6d 3s Ac 8c Js 9c 2c 7h 6h Jh 2s 8h];[Qc, Qd, Th, 3h, null];null;b1[r:17,50] Hero[c:0,37] ;b1[r:16,57] Hero[f:81,18] ;null;{8} ;-8;b1[Qh, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Jd 5h 6h Kc As 7s Qh 7h Jh Jc 5s 3h 8c 5c Ts 8s 6c Ah 4d 3c 3d Kh 4s Js Ks 2d 7c 9h 4h 5d 7d Ad 2h 9s Qs Ac 6s 2c 2s 4c 6d Td 9c 3s 9d 8h Tc];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3s, 7h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 5c 9s Jd 3d 3s Qs 5h Kh Ad 6s Ac 7d 7s 2s 6d Qh 3h Jh Ah Tc 4h 7c Td 2d 8h Ks 6h Kc 4d 7h 8c 8s As 9d 4c 5d 5s 2h 4s Js 6c 3c Jc Ts 9h 9c 2c];[Qc, Qd, Th, null, null];null;b1[f:17,17] ;null;null;Hero{6} ;6;b1[Js, As];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 5s Ts 6s Ah Kh 2d 4c 7h 9c 2c 8h 7d 6c Ad 3s 3c Kc Ac 5c 6d 9h Qs 2h Jc 2s 7c 9d 8c 3h Jh 8s Tc 7s 4s 4h Ks 3d As 6h 4d Td 5d 5h Js Jd Qh 9s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[As, 3h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 5h Kc 7s 7d 6s As 5s 8s 2s 2c 3d Ts 3h 9c Ac Jh 2d Kh 7c 6h 3s Td 4h 5c Tc 5d Ad 3c 4d 6c Ah Jc Js 4s Ks 6d 4c 8c 9d Qh 8h 7h Qs Jd 2h 9s 9h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5h, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Qs 5c Kc Ks 4d 5s 7h 7s 4c Jh Qh As 9s 6d Ts 3h 3c 5d 8h 2c 4s 6h 9h Kh 3s Ac 5h 3d 9d 9c 6c 6s Td 2d Jd 7d Js 2s 8c Ah 7c 4h 8s Jc Tc Ad 2h];[Qc, Qd, Th, null, null];null;b1[f:17,50] ;null;null;Hero{6} ;6;b1[Kh, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6c 7c 2d Td Qh 6d 5c 4s 2s Ks 9d 9s 4c 2h Kh Ad 5h 4h Ts 8s 3d 6h 2c 7s Jd 3s Jc 4d 6s Kc 9h 8c 5d Ah 5s 8h 7d Tc Ac Js 7h Jh 3c 3h 9c Qs As];[Qc, Qd, Th, 6c, 7c];null;b1[c:17,17] ;b1[c:16,57] Hero[c:0,36] ;b1[c:6,8] Hero[c:0,23] ;Hero(8) ;8;b1[Jd, 9c]10512;b2;Hero[8d, Kd]10547;b0
 Kd 8d Th Qd Qc] [ 3s 3h 2h Kc Qs As 5s 7c Ks 4s 3c 4d Ah Ad 8h Ac Jd 6d 8c 6s 6h 5h Jh 2c 9h 9d 4h 7h 9s Td 2d Qh 5c 5d 8s Tc 9c 3d Kh 7s Jc Js 7d 4c 2s 6c Ts];[Qc, Qd, Th, 3s, null];null;b1[r:17,50] Hero[c:0,37] ;b1[c:16,57] Hero[r:0,36] b1[f:16,57] ;null;Hero{10} ;10;b1[Jh, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ks 9h Td Ts 3d 8c 7d 9c 3s 2h As 6c Js 2c 6s 2d Kc Kh 6h 5s Tc Ah Qs 8h Jh Jc 4d 5c 4c 8s 7c 5h Qh 2s 6d 9d Ad 3h 4s 5d 7s 9s 3c Ac 4h Jd 7h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6s, 7h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 5s 9c Qh 2h 2c 5d 7c Jc 6d 7d Jh 4h 6h 4c 8s Td 8h Ad Ts 6c Js Tc Ac 9h 2d 2s 7s 9s 7h 3s Qs 5c Ah 4d As 8c 9d Jd 6s Kh 3h 3c 5h Kc 4s 3d Ks];[Qc, Qd, Th, 5s, 9c];null;b1[c:17,17] ;b1[r:16,57] Hero[r:81,18] b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(30) ;-14;b1[7d, 7c]12846;b2;Hero[8d, Kd]10548;b0
 Kd 8d Th Qd Qc] [ 5h 8c 5s Ac 2h 7c 9c Tc 4h 3c 8h Qh As Js 3s 7d 6c 2c 8s 6s Td 9s 2d Kc 4d Jd Ts 5d 3d 3h Ad 9d Kh Ks 5c 2s 7h 6h 7s Jh Qs 9h 6d 4c 4s Jc Ah];[Qc, Qd, Th, null, null];null;b1[f:17,50] ;null;null;Hero{6} ;6;b1[Td, Tc];b2;Hero[8d, Kd];b0
