 Kd 8d Th Qd Qc] [ 6c Qs 8s Jc Tc 9d 3s As 4h 3h Td 5d 3d 8h Kh Ah 9s 6d 6h Jd 7c 7s 7h 5s 9c 3c Ks 8c 5c 4d Kc 2s 2d 6s 9h 2c Ac 2h Js Qh Jh 7d Ts 4s Ad 4c 5h];[Qc, Qd, Th, 6c, null];null;null;b1[r:16,57] Hero[r:81,18] b1[f:69,23] ;null;Hero{10} ;10;b1[7d, Ad];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 5c 2h 9c Jc 5s 5d Ac 7h 8c Jd Ad Tc Qs 7d 2d 5h 4c 7s 3h 4d 6d Kh 7c Ah Ts 9s As Qh 2s 8s 9h 6s Js Jh 2c 3s Ks 3d 6h 6c 4s 8h Kc 3c Td 4h 9d];[Qc, Qd, Th, 5c, null];null;null;b1[c:16,57] Hero[r:0,36] b1[r:69,23] Hero[f:81,18] ;null;{8} ;-8;b1[6s, 5c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4h 6h Jh 9h 7d As 2s 6d 2d 9s 4s 2c 2h 6c Ad Tc 3h Qh 3s 3c Jd 7h Kc 4d Qs 5h 5c 5d Ac 6s 7c 8s 7s Ks Td 4c 5s Ts 8h 3d 9c Ah Jc 8c 9d Js Kh];[Qc, Qd, Th, 4h, null];null;null;b1[c:18,12] Hero[r:9,72] b1[f:69,23] ;null;Hero{6} ;6;b1[6c, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4h 3d 6d Qh 7c 6c 2d 5h 7s 5d 2s 9d Ts 3h Js Qs Jc As 5c 2c 7d 4d 8c 9h Ac 9c 4c 8s 9s Kh 6s 4s Ad 7h 8h Kc 2h Ks Jd Ah Jh Td 6h 3s Tc 5s 3c];[Qc, Qd, Th, 4h, null];null;null;b1[c:16,57] Hero[r:0,36] b1[f:18,12] ;null;Hero{6} ;6;b1[Js, 4d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 5d Qs 4h Ah 8s 3s 2d Jh 7h 3h 4s Jc 4c Tc Td 5h 9h 9s Ad 6s Js Kh Kc 3c 7s 6h 7d 9d Ac 5c Qh Ts 2c 5s 4d 3d Jd Ks 7c 8h 6c 2s 8c 6d 9c 2h As];[Qc, Qd, Th, 5d, null];null;null;b1[r:16,57] Hero[r:0,36] b1[f:18,12] ;null;Hero{10} ;10;b1[7h, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6h 7h Ac 8h Td 5s Js 2c Kc 8s 4h Qh 5d As Jc Ks 2d 9d 4s 3d 4d Jh 3s 9c 9h 8c 6d 9s Kh Ad 4c 3h 7s 2s 6s Qs Ts 6c Tc Jd Ah 7d 7c 5h 3c 5c 2h];[Qc, Qd, Th, 6h, 7h];null;null;b1[c:18,12] Hero[c:0,36] ;b1[r:6,8] Hero[f:88,11] ;{4} ;-4;b1[6h, 8h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Jd 9d 4h Jh 5h 6d 7s Js 3c 2h 8s 6c Ks Ac 2d 7c 2s 3h 7d 3d Kc 3s Qh 5c As 2c Ts 5d 6s Jc Td Ad Qs 8c 7h 4c 4s Tc 6h Ah 5s 9s 4d Kh 9c 8h 9h];[Qc, Qd, Th, Jd, 9d];null;null;b1[c:18,12] Hero[c:0,36] ;b1[c:6,8] Hero[c:0,69] ;Hero(6) ;6;b1[3h, Ac]10602;b2;Hero[8d, Kd]25353;b0
 Kd 8d Th Qd Qc] [ 5c 9s Qs 2d Qh Jh 8c Ah 7d Ks 2c 6h 3h 6c 3c 6d Kh Jd 8h As Td Ad 5s 5h 9c 3s 2s Ac 5d Tc 4d 3d Js 4h 7h Ts 4c 6s 7c Kc 4s Jc 9d 2h 7s 9h 8s];[Qc, Qd, Th, 5c, null];null;null;b1[c:18,12] Hero[r:9,72] b1[f:69,23] ;null;Hero{6} ;6;b1[3s, Ks];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2s 7h 7c Jd 3s Ts Jc 3h 2d 9d 8c 9c 5c 6s 2h 9s 6c 6d Ad 7d 4c 8h 6h Kh As Tc 9h Qh 4d Ks 5d 4h Kc 3d 8s 3c 2c Ah 4s Qs Jh Ac Td 5s Js 7s 5h];[Qc, Qd, Th, 2s, 7h];null;null;b1[c:18,12] Hero[c:0,36] ;b1[c:18,51] Hero[r:0,23] b1[f:85,14] ;Hero{6} ;6;b1[2s, 6d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2c 6d 8c 2d Jh 7c Jc Kh 9s Js 8s 2h 9h 9c Td 4c 5h 7d Kc 2s Qh Ks Jd 3s 5d Tc 9d As Ad 4s 6c Ts 6s 7s 3d 3c 6h 3h 5s Ac Qs 7h 4h 8h Ah 5c 4d];[Qc, Qd, Th, 2c, 6d];null;null;b1[c:18,12] Hero[c:0,36] ;b1[r:18,51] Hero[f:88,11] ;{4} ;-4;b1[6h, 7h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2h 6h 9c Jh 7d 5d 9s Ts Ac 4s 9d 7h Jd 5c Tc Ad 3d 3h 2c Kh 5s Kc 6d 9h 2s 8c Ah 3s 7c Qs 2d 4c 4h Ks Qh 7s 4d Jc 8s 6s 6c Js 5h 3c Td 8h As];[Qc, Qd, Th, 2h, null];null;null;b1[r:16,57] Hero[f:81,18] ;null;{4} ;-4;b1[As, Kc];b2;Hero[8d, Kd];b0
