 Kd 8d Qs Th Qd Qc] [ Jh 6s 5c 8s 4h 7s Ks 3d 8h Ad 4s 2c Kh 7h 2d 7d 8c 2h Ac 9c 3c 4c 6d As 5h Kc 9s Td 9d Ah Ts 6h 2s 7c 5d Js 5s Jd 4d Qh 9h 3h Tc Jc 6c 3s];[Qc, Qd, Th, Qs, null];null;null;b1[r:16,57] Hero[f:81,18] ;null;{10} ;-10;b1[As, Jh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6c 7c 7h 8s Ad 5c 2s 3h As 8h 2c Tc Kc 3d 9h 9d 4d 6d 7d Td 4h Ks Js 9s 4c Jd 9c 4s Jc 2h 7s 8c 6h Ts 2d 5h 5s Ah 5d 3c 3s Ac Jh Kh 6s Qh];[Qc, Qd, Th, Qs, 6c];null;null;b1[c:18,12] ;b1[r:18,51] Hero[f:88,11] ;{10} ;-10;b1[4s, Ts];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2d Js Kh 2s 3s 5d Ks 5h 2c 8c 4c 4s 5s 8h Ts 9h As Tc Jd 3c Jc 5c 3h 6s Jh 7c Ad 7s Qh Ah Kc 7d Td 9d 7h 8s 9c 4d 6d 9s 4h Ac 6c 3d 2h 6h];[Qc, Qd, Th, Qs, 2d];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[As, 5c]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ac 7d 3h Kc 2s Jh Qh 6h 5c 8h 6d Ts 3c 7c 4d 5d 2c Jc Kh 3s 9c 5h 4c 7s Ah 2h 8c 9h 8s Td 4h 5s 7h Js 6c 4s As 2d 9s 9d 6s Ad 3d Tc Ks Jd];[Qc, Qd, Th, Qs, Ac];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[8s, Tc]28801;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 2c Ac 2d Ah 7d 4c 8c Js Ks 7h 6h Kh 3h 4d 3c Qh Ts 8s 5s Ad 9c 6d 6s 7c Td 3s 3d Jh 5c As 8h 2s 4s Kc 5d Jd 6c 9h 9d 5h Tc 2h 4h 9s Jc 7s];[Qc, Qd, Th, Qs, 2c];null;null;b1[c:18,12] ;b1[r:18,51] Hero[f:88,11] ;{10} ;-10;b1[Ts, 6h];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2d 8s 7s Ks Ad 4h 8h 6d 5d 9s 5s 3h 9d 2s 7c 3c 4d 9h 6c As Jh Jc 2h Td 9c Jd Js 6s Ac 6h 8c 5h 7h 5c Kh Ah Tc Kc 4c Ts 3s 4s 7d Qh 3d 2c];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[9c, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2h 5d 2s 3c Ts 5c Jd Td 4d 3s 8h Js 3h 6h Tc Ah Ks 6c Jc 4h 5s 9h 9d Jh 9s Ac 6d Kh 2d 7h 7d 2c 4s 3d Ad 4c 8s 5h Kc 7c 8c 7s Qh 9c 6s As];[Qc, Qd, Th, Qs, 2h];null;null;b1[c:16,57] ;b1[c:18,51] Hero[r:0,69] b1[c:6,8] ;b1(30) ;-14;b1[7h, Ah]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2h 3s Ks Jc 8h 9s 6h 7s Ac 7d 2c Jh 4d 2d Qh 4h 3c 7c Td 5c Ts 6s Js 7h 9c 8s 5s 6d Kc 4c Tc As 3h 9h Ah 4s 8c 5d Kh 3d 5h Ad Jd 9d 6c 2s];[Qc, Qd, Th, Qs, 2h];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[f:85,14] ;Hero{12} ;12;b1[Ks, 9h];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ As 8s Ks 6s Ac Kc 4c 6d 9h Jd 4s 3c 6c 3h 5h Tc 7h 6h 7c 2c Jc Qh 2s Ad 9c 2h 9s Kh 8c 5d Js Td 7s Ah 7d 5c 8h Ts Jh 3s 4h 5s 3d 9d 4d 2d];[Qc, Qd, Th, Qs, null];null;null;b1[f:69,23] ;null;Hero{8} ;8;b1[6c, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 4d Js 4c 4s 5s Ah Tc 5d Td 7d 9d 5c Jd Kh 2c 6d Ad 3h 3s Ac Qh 7s 9c Jc 6s 6c 7h 7c Ts 2h 3c Jh 6h As 5h 8h Ks 8c 2d Kc 4h 3d 9s 2s 8s 9h];[Qc, Qd, Th, Qs, 4d];null;null;b1[c:16,57] ;b1[r:18,51] Hero[f:88,11] ;{10} ;-10;b1[Qh, Ah];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 9c 6d Jh 2d Ks Ah Ad 8h 4d 5c 6c Qh 7s Jc Kh 9h 2s 4s Ts Js 6s 3c 6h 7h 4c 3s 9d Ac 9s Jd 3d 2c 7c Td 5h 2h 8c 4h As Tc 5s 3h 8s 7d Kc 5d];[Qc, Qd, Th, Qs, null];null;null;b1[f:16,57] ;null;Hero{8} ;8;b1[8h, Ac];b2;Hero[8d, Kd];b0
