 Kd 8d Th Qd Qc] [ 5c 9s 6c 4c Tc 9c Ks Kh 7h Qh 4d 9h 3h 2d Ts 2s 2c 5d Ah 7s 5h 7c 3c Td 6h Kc Jc 3s As 6s 9d 7d 8c 6d Js Jd 4s 8h Qs Ad 4h Ac 5s 8s 3d Jh 2h];[Qc, Qd, Th, 5c, null];null;b1[r:8,75] Hero[c:0,16] ;b1[r:7,80] Hero[f:92,7] ;null;{8} ;-8;b1[Qh, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ad 2c Kh 7c As 8s 6d Ac 9d 9c Jd Js 3c 9h Jh Ts 5c Td Jc 4d 6s Ks 8c Qs 2h 5s 5d Tc 4c 7d 2d 9s 6h 7h 3s 2s 8h 6c 4h Qh 7s Ah 3d 3h Kc 4s 5h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7s, Js];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3c Ac Qh Jh Kh 2s 6h 3d 7h Ah 6d 5c 3h As 4d 2c 8h 5d 9s 6c Tc 9d 5s 5h Ts Ks 7d 4s Jd 2d Jc Td 4h Qs Ad 7s 7c 9h 9c Js 8s Kc 8c 4c 3s 6s 2h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[4c, 6c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4c Ts 5h 3c 5c 3s 6d 7s 2d Td Ah 9c Jd Kh 9h Tc 6s 8s 3h 6h 5s Ac 7d 5d Qs 6c 7h 2c 7c 4s 9d 8h 4h As 2s 8c Js Jh 3d Ks 4d Qh 9s Ad Jc Kc 2h];[Qc, Qd, Th, 4c, null];null;b1[c:6,6] ;b1[c:8,5] Hero[r:3,88] b1[f:87,9] ;null;Hero{8} ;8;b1[5d, Ad];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4s 5h Jd Tc Kh Kc 8h 6h 6d 3c 5s As Ah Jc 2s 3d 7s 4c 9c 2d Ts 2c 9d Td 7c 7h 6c Ad Jh 3s Ac 4d Qh Qs 8s 5d 3h 7d 5c 6s 9s 9h 8c Js 4h 2h Ks];[Qc, Qd, Th, 4s, 5h];null;b1[r:8,75] Hero[c:0,16] ;b1[c:7,80] Hero[c:0,16] ;b1[c:8,78] Hero[c:0,9] ;b1(18) ;-8;b1[Qs, Kh]17098;b2;Hero[8d, Kd]10547;b0
 Kd 8d Th Qd Qc] [ 5h 3d Ac Tc 4d 7s 2h 6c Ad 2d 7d 8h 5s 4s 2s 6s Jd As 5d 6d Ah 9s Qh 4h Kh 8s 6h Jh Qs 3h Td Jc 9c 3s Js 7h 8c Ts 7c Kc Ks 4c 9d 5c 3c 9h 2c];[Qc, Qd, Th, 5h, 3d];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[r:8,78] Hero[f:96,4] ;{6} ;-6;b1[5d, 5c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9c 7d 4s 7c Qh 9h Td 3s 6s 8h Qs Jd Ts 9s Ks 7h Kh 6d 3d Tc Jh 5c Ah 6c 6h 5s 4d 7s 3h 8s 2c 3c Ac Js As 4c 5d 2d 9d Kc Ad 8c 5h 2h Jc 2s 4h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3c, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Js 9h 2c 3d 5s 3h 6c 4d Qs 7s Qh Td Ac 9d 2s 5d 7c Jd Ad 7d 5h 8s Ts 6d Jh 2d 3s 4h Kc Ks 8c As 9c 8h 2h Ah 5c 3c Tc Kh 4c 7h 4s 6h Jc 9s 6s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7c, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ac 7c 9s 4h Jc 2d Jh Ks Js 8s 3c Kh 2c 8c 7s 4s Qs Ad 6c 4d 3s 9c Jd 7d 4c 3d 6d 2s 5s 5c 7h 9d Ah 5h Tc Qh As Kc 3h 9h 6s Td Ts 5d 2h 8h 6h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6h, 9d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4d 6h 9c Tc 6c 9d Jh Qh 7c 5d 6d 8s Ac Qs 9s 7h Ks 5c 3s Kc 2s 4s 3c 5h 8c 3h Kh 4h 2c 8h Jd Ts 5s Ad 2d 9h Ah Js 7d Td As 2h 7s 6s 3d 4c Jc];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[4d, Jd];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 5s 9h Ac Ah Ks 8c 5h 4h 7c Qs 2s 3c Jd Js 7d Kc Td 6s 6d 6h Jh 8h 9c 7h 8s 9s Ts 9d Kh 2h 3d 5d Tc Qh 2c As 7s 3h 3s 5c Ad 4d 2d 4c Jc 6c 4s];[Qc, Qd, Th, 5s, null];null;b1[c:8,75] ;b1[r:7,80] Hero[f:92,7] ;null;{6} ;-6;b1[Qh, 9c];b2;Hero[8d, Kd];b0
