 Kd 8d Qs Th Qd Qc] [ 8c 2c 9d 5d Ks 8s 5s 2s 7s Td 4s Ts As 6s 4d 3h Ad 4c 7d 9s Js 7c Jc 5h Jd 2d Kc 2h 9c 3c 3s 4h Jh Ah 7h Ac 6h Kh 8h Tc 5c 3d Qh 9h 6d 6c];[Qc, Qd, Th, Qs, 8c];null;null;b1[c:13,9] ;b1[c:4,5] Hero[r:0,77] b1[c:4,5] ;Hero(20) ;20;b1[7d, 7c]28798;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ 9h 9d 7s 2c 8s 4d Jd 7h 9c Js Ts Ad 3d Qh 7d 4s As 4c Jc 2s Td Kc 9s 2d 6c 6d Kh Ks 3h 4h 7c 8h 6h Ah 3s 5s 5d 5c 6s 5h 8c 2h Ac Tc Jh 3c];[Qc, Qd, Th, Qs, 9h];null;null;b1[c:77,17] ;b1[c:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[7h, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Jh 7d 6h 5c Ts 3d 7c 4h As 3c 5d 8c 5h 8h 6d Jc 9c 7s Ac 3h 9d 8s 3s 6s Ah Kc 2c Ks 6c 4s Kh Ad 4d 2h 9s 2s 9h 2d 4c Js Td 5s 7h Jd Tc Qh];[Qc, Qd, Th, Qs, Jh];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[Ks, Ah]20490;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 5h 7h Ah 9s 5c Qh Js 9d Td As 2d 6s 7c Jc 5d Jh 6d Ts 2s 7d 4d 3c 8h 3h 3d 4c 3s Ks 6c Ad Tc 9c 4h 9h Kc 7s 4s Ac 2c 5s 2h Jd Kh 8c 8s 6h];[Qc, Qd, Th, Qs, 5h];null;null;b1[c:12,66] ;b1[c:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[Kc, Ac]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ac 9c 6d Js 2c 8c 5h 8h 5c Jh Jd 7s Td 6c Qh 2h 6h As 2s Ks Kc 9h Tc Ah 7c Jc 5d 4d 4c 9s 4s Kh Ad 8s 4h 3s 2d 7d 7h 3h 6s 9d Ts 3c 3d 5s];[Qc, Qd, Th, Qs, Ac];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[Ah, Kc]28804;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 6h 5s 4c 8h 6s 3d 5c 7s As 7d Kh 2c 9d Kc 9s 3h 2s 2d 7c 3c Jd 4d 8c 5h Jh Ad 6c Jc 4h Ts 9c Td 5d Tc Qh Ah 4s 8s 7h Js 6d 9h 2h Ac Ks 3s];[Qc, Qd, Th, Qs, null];null;null;b1[f:12,66] ;null;Hero{12} ;12;b1[Ts, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 4c Jc 4s 3s 9h Qh 2c Jh 3c 2s Ts Td 4h 5s Jd 5d Tc 6c 7h 5h Ad Ac As 8h 7d Js 2h Kc 2d 9c 8s 9d 3h 4d 8c Kh 6h 7c 9s 6s Ks 6d 5c Ah 3d 7s];[Qc, Qd, Th, Qs, 4c];null;null;b1[r:77,17] Hero[r:0,27] b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(46) ;-22;b1[Ah, 5d]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9c 4s Tc 7c Jc 3h 2c 3s 6d 8h 4h 2d Td Qh 5s Kc 7d 5c 3c Ks 6h Ts 7h Ad 8s 3d 6c 7s 2s Ac 4c 4d 6s 5d Kh 5h 8c Ah 2h Jd As 9s Js 9h 9d Jh];[Qc, Qd, Th, Qs, 9c];null;null;b1[c:13,9] ;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(38) ;-18;b1[Ad, Kc]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Kh 5d 2d Kc 2s Jh Ts 7s 3d Qh Ad 6h Jd Td 8s 3c 5h 8h 6c 4c 7d 4d 7c 4h Tc Ks 6s Js 4s 9d 2h 9c 2c 5c 8c Ah 3s Ac 7h Jc 6d 9h As 5s 3h 9s];[Qc, Qd, Th, Qs, null];null;null;b1[f:13,9] ;null;Hero{12} ;12;b1[Ts, Ks];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ks 3d 7d 6s 6c Jh 2h 5h Kc Ah 8h 9c 9h Ts 4d Ad Kh Tc 4h 4c 5d 6d 7s Qh 6h 2d 4s 3h 3s 7h 5c 9d Ac 3c Jd Js 5s 8s As 7c 2c 2s Jc 9s 8c Td];[Qc, Qd, Th, Qs, Ks];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,77] ;Hero(16) ;16;b1[Ad, Tc]28801;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 3d Kh 7h 9c Jh 8h 8s 7c 5h Ad 4d 2d 9h 5c 4h Tc Ac 9s 7s 5d 3c Kc Jc 4s 3h Ts 9d 6d As 3s 5s 2h 6s 8c 2s 4c Qh Ks Jd Ah Js 7d 6h 6c Td 2c];[Qc, Qd, Th, Qs, 3d];null;null;b1[c:13,9] ;b1[r:14,64] Hero[f:92,7] ;{14} ;-14;b1[Ts, As];b2;Hero[8d, Kd];b0
