 Kd 8d Qs Th Qd Qc] [ 7d 3c 5d Jd As 8h Qh Ac 8s 3d Kc Td Tc 5h 5s 6c 9s 3h 9d 6h 2h Jc 4d Ad 4h 6d 2c Jh 7s 8c 4s 7h Js 4c Ts 2d Ks 9c 3s 2s 5c 7c 6s 9h Ah Kh];[Qc, Qd, Th, Qs, 7d];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[9s, 9h]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7d 3c Td 2s 8h Ac 8c Js 5s Qh 4d 2h 9h Ah 2d Jd Ks 6c As 9c 9s 7c 4c 3d 4h 8s 9d Jc 2c 7h Jh 5h Tc 3h Kh 3s Ad 6d 7s 6h 5d Kc 4s 6s Ts 5c];[Qc, Qd, Th, Qs, 7d];null;null;null;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(30) ;-14;b1[8c, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Jc 3c 4s 2c Ad 6d 3d Kc Js 4c 7s Ac 3h 9c Jd 2h 8s Tc Kh 8c 5d 4h 4d As 6c Ks 7h Qh Td 6h 8h 2s 6s Jh 7d 9s 9h Ah Ts 7c 5c 2d 5s 9d 5h 3s];[Qc, Qd, Th, Qs, Jc];null;null;null;b1[c:89,10] Hero[c:0,17] ;b1(22) ;-10;b1[Ad, 9c]17109;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ Tc 5h 6d Kc 3s 9s 7c 8s Jc 3h Jd 6h Td 7s 9d 4s 2h 5c 9c Ah Qh As Jh 5d 3c Ac 8c 2c 4c Js 6c Kh 4d 5s 4h 8h 3d Ks 7h 2s Ad 7d 6s Ts 2d 9h];[Qc, Qd, Th, Qs, Tc];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(11) Hero(1) ;1;b1[Ks, Jc]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ 2s As Kh Jh Jc 6h 4h 5c 3h Ts 3s 4d 9s 5h Ac 2c 7h 5d 3c Kc 9c 7d 3d 8s 4c Td Js Tc 4s Ks Ad Jd 2d 6c 9d Ah 2h Qh 6s 6d 8h 7s 9h 8c 5s 7c];[Qc, Qd, Th, Qs, 2s];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Jd, Jc]28802;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4d 4c 6d Js 9h Kh Jd 8s 5c 7h Ts 4s 7c Ad Qh 9s Tc 6s 2c 3s 6h 3c 3d 5s 2d 9c Ac As Kc 2h Jh 2s 5d 4h 3h Ah 5h Td Ks 9d 7d 8h Jc 8c 7s 6c];[Qc, Qd, Th, Qs, 4d];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[9d, 9c]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Td 5d 9d Tc Jd 4s Kh 6d 8c 7d Kc Ac 6h Ts 7h 4h Jc As 9c 5h 5c 9s Jh 7c 2h 7s 2c 3h 3d Ks 3s 4d 2d 6s 4c Ad 5s Ah 2s 6c 8s Js 9h 8h Qh 3c];[Qc, Qd, Th, Qs, Td];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(11) Hero(1) ;1;b1[Jh, Ad]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ Qh 4h Kh 2d Ac Jd 5c 9s 8c 6d 4s 7c As 5h 3d 3h 7s Td Kc 3s 9d Tc 2h 9h Js Ah 8s Jc 4d 3c 6h 6s 9c Ts 2c 2s Ks Jh 8h Ad 5d 7h 4c 7d 6c 5s];[Qc, Qd, Th, Qs, Qh];null;null;null;b1[r:14,64] Hero[c:0,17] ;b1(30) ;-14;b1[6h, Ah]32900;b2;Hero[8d, Kd]32899;b0
 Kd 8d Qs Th Qd Qc] [ Kc 4s 2s 3h Jh 3d Ac 8s 9d 2h 9s 9h 2d Td 8h Ah 4d 7h 5s 6s 9c 6h Kh Js 3s 6d Tc 4c 5d Qh Ts 2c 5h Jd 5c As 7s Ad Ks 7c 4h 7d 6c 3c Jc 8c];[Qc, Qd, Th, Qs, Kc];null;null;null;b1[c:4,5] Hero[c:0,77] ;Hero(12) ;12;b1[2s, 2h]28793;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 7d 6d Ad 9d 2c 7c 5h Jh 8s Ks 3c 9h 4h 3h Kc Ts Tc 8c 2d 5s As 5c 9c 6c 6h Js 9s 7s Jd Kh 2s Qh 6s 8h Ac 5d Jc 4s 3s Td 7h 4c 4d Ah 3d 2h];[Qc, Qd, Th, Qs, 7d];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Jd, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Jd As Kh 2d 9c 7h 5h 5s 8s Ah Ks Jc Jh 7c Tc 3h Js 8c 2s 6h 4h 5c 9d 6d 2h 8h 4c 7d 9h Ac 3s 6c 4d 2c 7s 6s 5d 3d Td Ts Kc Qh 4s 9s 3c Ad];[Qc, Qd, Th, Qs, Jd];null;null;null;b1[c:89,10] Hero[c:0,17] ;b1(22) ;-10;b1[As, 5d]17109;b2;Hero[8d, Kd]17099;b0
