 Kd 8d Qs Th Qd Qc] [ 9c 2s Td 4h Jc 6h 3c Kc Ks 7c Jh 4s Kh 9d 5h As 7h 2c 2h 9h Ad 8s 3s 7s Ah Tc Js 6c 6s Ts 8h 2d 4c Qh 3h Ac 7d 3d 9s 8c 4d 6d Jd 5c 5d 5s];[Qc, Qd, Th, Qs, 9c];null;null;b1[c:8,5] ;b1[c:2,3] Hero[c:0,9] ;b1(30) ;-14;b1[9s, 9c]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4c 6c 2d 6h Jd Ac 8h 5c 3c Kc Ks As Kh 3h 4h 7h Js Qh 3d 9d 6d 7s 7d Ad 9c 9s Jc 3s 2h Tc 4s 5h 2s 8c Td 9h 8s 7c Ah 2c 6s Ts Jh 5s 4d 5d];[Qc, Qd, Th, Qs, 4c];null;null;b1[c:8,5] ;b1[r:8,78] Hero[f:96,4] ;{14} ;-14;b1[Js, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ts 3s 7d 3h 7s 4s 3c Td Jd 5h 4c 6s Jh 6h 2s 8h 5s As 9d Ac 5c Kc Ks Tc 4h 9s Kh 8s 2h 2d Jc 6c 9c 4d Ah 7c 6d Ad Qh 8c 5d 9h Js 2c 7h 3d];[Qc, Qd, Th, Qs, Ts];null;null;b1[c:8,5] ;b1[r:8,78] Hero[c:0,9] ;b1(38) ;-18;b1[Td, Tc]32874;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ 4c 2h 2s Js 4h Td As Ts Jd 9s Ac 7c 8h 2d 7d 4d 8s 6s Ah 4s Jc Tc 3s 5h Ad 5s Kh Ks 6h 7h 2c 9d 5d 3d 3h 6c Qh 9h 7s Kc 6d 3c 9c 8c 5c Jh];[Qc, Qd, Th, Qs, null];null;null;b1[f:87,9] ;null;Hero{12} ;12;b1[7h, Ah];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 9c 6d 6c 4d 5h 8c Kh 5s Jc Jh 4s 2s 7s 3s Ah Td 4c 8s 3d 7c 5d Tc 4h 9d Kc Jd 3c 7d 5c 2h Js 9s 2d Ac 3h Ks As 6s Ts 7h Qh 2c 6h Ad 8h 9h];[Qc, Qd, Th, Qs, 9c];null;null;b1[c:8,5] ;b1[r:8,78] Hero[f:96,4] ;{14} ;-14;b1[As, Ah];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ks 4d 2h 4c 2c 8h 5s 3s Qh Td 6h 7h Jd 6c 9s 2s 5h Ac 4h 3h Jc 8c Ad 5c 2d 6s 5d 9c 7c Ts 4s Tc 6d Ah 9d 8s 7d Js 7s 9h Kh 3d 3c Jh As Kc];[Qc, Qd, Th, Qs, Ks];null;null;b1[c:8,5] ;b1[c:2,3] Hero[r:0,87] b1[c:2,3] ;Hero(20) ;20;b1[2d, 2c]28793;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 4d 4s 8s Qh 4c 9h 7h Jh 8c 7s 2h 5h Jd 6d Kc Td 4h 5s 8h Jc 3c Js 6c 3s 2s As 9d Ts 5d 2c Ad 7c Ac Kh 6s 3h 6h 9s Ks 9c Ah 5c Tc 7d 3d 2d];[Qc, Qd, Th, Qs, 4d];null;null;b1[c:8,5] ;b1[r:8,78] Hero[r:96,4] b1[c:2,3] ;b1(46) ;-22;b1[5d, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3h 5d 8c Kh 2d 4s 9d 5c 7d 8h 3s 9s Jc Ts 2c 9c 7h Ks Jh 7c 5s 6c 8s 9h Tc 6d Ac 4h Jd Js 4d 4c Ah 7s 5h 2h 6h Td As 2s 6s Qh 3d 3c Ad Kc];[Qc, Qd, Th, Qs, 3h];null;null;b1[c:8,5] ;b1[r:8,78] Hero[f:96,4] ;{14} ;-14;b1[Ah, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 7c 4s Jd 4d 7h Kh 4c Kc 3c 3d 3h 9h 2c 6s 5s As 8h 4h 5c Ts Tc 7d 2d Ad Ah Js 9d 8c 9s 6h 3s Jc 5h Ac Td Ks 6d 2h 5d 6c Qh Jh 7s 8s 2s 9c];[Qc, Qd, Th, Qs, 7c];null;null;b1[c:8,5] ;b1[c:2,3] Hero[c:0,9] ;b1(30) ;-14;b1[9h, 9d]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3c 5s 6d 5h 2c 3h 9c 4d Td Ks 7h 4h 5c 9h 7c 7d 9d 8h 5d 3d Ah Tc 6c 9s 8c 8s As Ad 6h 2d 2s 4s Jc Kc Ts 4c Ac Jh Jd 3s Kh 7s 6s 2h Qh Js];[Qc, Qd, Th, Qs, 3c];null;null;b1[c:8,5] ;b1[r:8,78] Hero[f:96,4] ;{14} ;-14;b1[Kh, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ac 8c Td Js 7h Ah 7s 5s 2c 7c 9h Jh 4h Tc 6h 3s 4c As 3h 4s Jd 9s 9d 6d Ad 3c Ks Qh 5d 4d 8s 2s Ts Jc 6s 8h 7d Kh 9c Kc 6c 5c 5h 3d 2d 2h];[Qc, Qd, Th, Qs, null];null;null;b1[f:87,9] ;null;Hero{12} ;12;b1[8s, 9c];b2;Hero[8d, Kd];b0
