 Kd 8d Qs Th Qd Qc] [ Kh 9h 9d 5c 4h 7s 8s 5d 7d 6h 2s 2c Ah Ks 5h Ts 9s Ad 3c Qh Td 2d 7c Jc Ac 6d 3s 3h 9c 4c As 3d 4d 2h 6s Kc Jh Jd Tc 7h 6c Js 4s 8h 8c 5s];[Qc, Qd, Th, Qs, Kh];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,69] ;Hero(12) ;12;b1[Ah, 7d]17110;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ Jh 4d 6h 4h 8s 7s Ks 6d 6c 2h 8h Ts 5s 2c Kh 3s 5d 8c As Ah 5c 2s Kc Qh 7d 7h Td 5h 4s 3c 9c Ad Jd 3h 6s 2d Tc Jc Ac 9d 4c Js 3d 7c 9s 9h];[Qc, Qd, Th, Qs, Jh];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Kh, Ac]20490;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ Tc 6h 8h 7c Jh Ah Kc 3h 6s 3s 4h 8s 2h 2d 3c As 3d 5c Ad 2s Ac 9s 9d 7d Ts Qh 5s 7s 6d 4d 6c 5d Jd 5h 4s 9h 7h 8c Td Kh Jc 4c Js Ks 9c 2c];[Qc, Qd, Th, Qs, Tc];null;null;b1[c:18,12] ;b1[c:18,51] Hero[r:0,23] b1[f:6,8] ;Hero{12} ;12;b1[Ks, Kh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 5s 6c 4d 2h 3s 5d 9h Kh Js 9c 8h 7d Td 4h 8c Jc 2d 9s Jh 4c 7h 5c Tc 3c 3h As 7s 6s 5h Ac 2c Ah 3d 8s Kc Jd Qh 6d Ts 7c 2s Ks 6h 9d Ad 4s];[Qc, Qd, Th, Qs, 5s];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Tc, Ac]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Kc 3d 2s 7d 7h 3h 6h 6d 3s Jc Kh 5c Ad 2h 8s Jh 4c Tc 9h 9d 2c 5h Ks 3c 7c Jd 9c Ah Js 6s 6c 7s 2d Ts 4s 5d 5s 8h Td 4d As 8c 4h Ac Qh 9s];[Qc, Qd, Th, Qs, null];null;null;b1[f:16,57] ;null;Hero{8} ;8;b1[3s, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 3s Td As 9s 7h 9c 4c Ah 8s Ad 3d 7s Qh Kh 6s 9d Ac 6h Jh 4s 2h 9h 3h Jd 2c 5d 3c 7d 8h 4h Js 4d 6c 7c 8c 5h 2s 5c Ks Ts 5s Tc Jc 6d Kc 2d];[Qc, Qd, Th, Qs, null];null;null;b1[r:16,57] Hero[r:81,18] b1[f:16,57] ;null;Hero{16} ;16;b1[Qh, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 9s 2c 7h Ks 3h 4c 2s Ah 3c As Qh Js 4d 3d 5d 3s Kh 2h Jd Jc 2d 5c Ad 8h Ts 9h 6h 6s 6d 8c 6c 8s 9c Tc 5h Jh Kc 7d Ac Td 7c 7s 4s 9d 4h 5s];[Qc, Qd, Th, Qs, 9s];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[r:6,8] Hero[f:88,11] ;{14} ;-14;b1[5d, 5c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 7h Ah Ks 3d Td Kc 5s Jh 2d 3h 7c 8c 6h Tc 9s 2c 8h 8s 6d Ad Js 3s 6s 4d 4h 9c Kh As 9d 2h 5d 2s 5c 7s 3c Qh Ts Jd 6c 5h 9h 4c Jc Ac 7d 4s];[Qc, Qd, Th, Qs, 7h];null;null;b1[c:18,12] ;b1[c:18,51] Hero[c:0,23] ;b1(22) ;-10;b1[6d, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Jc Qh 2c 4h Jh 4c 6d Jd 8s Ah Ks 5d 2h Td 2s Kh 2d 6s 9h 8c 3h 3c 9c Tc 5s Kc 7c 9s As 7d 6h 7s Ad 4d Ac 8h 6c 5c 3s 3d Js 7h 4s Ts 9d 5h];[Qc, Qd, Th, Qs, Jc];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Ts, 7h]28801;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 2c 6d 6c 7h 2d 9s Jc 9h Kc 4s 7c 5c Ts 2h Ks Ad 9d 5h 9c 8c Qh Jh 8h 7d As 7s Tc 3d Kh 4c 3h Ah 6s 2s 4d 5d Js 4h 6h Ac 8s Td 3s 3c 5s Jd];[Qc, Qd, Th, Qs, 2c];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[7s, As]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3c 9c 3h Ah 4c 5d 6s 2h 7s 4s 4d 2d 6c Ks 6h 9d 3s Tc Jd Jc 4h Ad Ts 6d Kh 7d 5s 8h Td Js Kc Jh 5h 2c 3d 2s Qh Ac 9s 9h 7h 8c 5c 7c 8s As];[Qc, Qd, Th, Qs, 3c];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;Hero(12) ;12;b1[Js, 8h]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9h Jc Kh Ac 7c 7h 6d 6c 9s 6h Td Tc 4c 6s 5h 2s Js 4d 4s 5d 8s Jh As 7s Ah 5c Ts 3h 3s 2d Ks 9d Ad 7d 8c 2c Jd 3c 9c 5s 3d 4h 2h 8h Kc Qh];[Qc, Qd, Th, Qs, 9h];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[9s, Js]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Jh 7c As Tc Ks 7d 9s 2d 7h 6d 6s 3s 5d 2c 6h 2s 8h Js 8c 9d 3h 5c Jd 4d 5s Td Ts 5h 4h Jc 7s 2h Kh 4c Qh Kc Ah Ad 9h 3c 6c 9c 8s 4s Ac 3d];[Qc, Qd, Th, Qs, Jh];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[8h, 9c]20488;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ Ks 5d 9h 6h 9s 9c Jh 5c 4h Ts Kc 2d 6c 9d Ad 2h 4d Ac 7c Js 8c 8s Jd 3d 8h 2c 5s Kh Qh Ah 3c 7s Tc 4c 3h 6d 7h 5h Jc As 2s 4s 3s 6s Td 7d];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[Jh, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ad 6c Ah Ts Qh Jh 7h 2s 6h 5h 3h 5d As Jd Ks 8s Jc 7d Ac Kc Td Kh 4c 8h 5c Tc 9s 7c 3d 2c 7s 9c Js 9d 4s 4h 2h 8c 3c 4d 2d 5s 6d 9h 6s 3s];[Qc, Qd, Th, Qs, Ad];null;null;b1[c:18,12] ;b1[r:18,51] Hero[c:0,23] ;b1(30) ;-14;b1[As, 5d]28804;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 4c 8h 2d 4h 5d Ah 6c 6s 7h 2h Ad As 5s Kh 9c Kc 3d Ts 9s 2c Qh Jc Ac 3c 9d 2s 4s Jd 4d 3h 5h Js 8s 8c Ks 7s 9h 3s Jh 6h Tc 6d Td 7c 5c 7d];[Qc, Qd, Th, Qs, 4c];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[9s, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4s Jc 5s Ks 5d 9d 6h 6c 4d Ad As Kh Td 2h 2c 6s 3d 3c 2d Kc Qh 9s 5h 4h 9h 6d 5c 8s 8h Jd 7c Js 7d Jh 3h 3s Ah 4c 2s 9c 8c Ac 7h Tc 7s Ts];[Qc, Qd, Th, Qs, 4s];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[c:6,8] ;b1(30) ;-14;b1[Ah, Jd]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 8h Jc 8c Qh Kh Ac 5h 7d 2d 8s Jd Js 6s Ad 7h 3d 6d 2c Td Ks 7c 5s Jh 9c 4s As 3c Tc 9d 4d 3s 6h 9h 7s 2s 2h 4h 5c Ah 4c Ts 6c 9s 5d 3h Kc];[Qc, Qd, Th, Qs, null];null;null;b1[f:16,57] ;null;Hero{8} ;8;b1[Ah, Jd];b2;Hero[8d, Kd];b0
