 Kd 8d Qs Th Qd Qc] [ Jh Ac 8c 2d Ad 5h 8s 6s 9d 6h Ks Jc 2h 2c 7d Js 5s 9h 7h 6d Tc 9c Ts 2s 4d 5d Qh Kh 6c 3c 7s 4h 4s Kc 9s Ah 7c 3s 3d 8h Td 5c 4c Jd 3h As];[Qc, Qd, Th, Qs, Jh];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[9h, Td]28801;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 9s 6d Ah 2s Tc 7c 3s 2h 4c 9c Td 6s 4h 9h Qh Jc 3c 7d As Ts 9d 8s Ac 6h 3h 8h 5c Ad 8c 5h 4s Js 3d Ks Jd Kh 7h 2c Jh 7s 5d 6c 4d 2d Kc 5s];[Qc, Qd, Th, Qs, 9s];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[As, Kh]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7c 6c Kc 2s 4h 8c Ad Jd As 5h 4s 4d 6h Jc 8h 9d Ac 6s Ks 2d 3d 7h 6d 5d 9c Tc 2h 3h Qh 3c Ah 5s 7s Td Ts Js 5c 4c 9h 3s 7d Jh 2c Kh 8s 9s];[Qc, Qd, Th, Qs, 7c];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[9s, 9c]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3h Td 3d 5c Ah 8s 4c Tc 8h 5h 7d 6c 5d 2s 4h 7s Ad Jd Ac 9s 6s Ks 6h 5s 6d Jh 4d 2h Ts 3c 2c Kc 9c As 7c Kh 9d 8c 2d 7h 9h Qh 3s Jc Js 4s];[Qc, Qd, Th, Qs, 3h];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[6h, Ah]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6c 9c 8c 6h 7d 4c Qh 4s 8h 2c Tc 8s 7c 3c 6d Js Jc Jh 3h 2h 9s 5h As 9d 7s Ks 3s Jd Ad 6s Kc 4h 9h Td Ah 3d 4d Ts Kh Ac 5d 5s 7h 2s 2d 5c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:94,5] Hero[c:0,9] ;b1(22) ;-10;b1[Js, Kh]17099;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5h Jc 3d 6s Ah 4c 6d 9c Qh 8s 5s Jh Ts Jd 3c 8c Ad 2d 9s 6c Kc 4d 3h 6h 7c 8h 7h 9h 5c 4h Ac As Tc 7d 5d 4s Js 9d 3s Kh 7s Ks Td 2h 2c 2s];[Qc, Qd, Th, Qs, 5h];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Ah, 9d]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3s 5s 8s 5c 3h Ts 3c Tc 4c Td Jh Jd 8c 7d 9h 8h 7h 6d Kc Qh 2c 5d 9s 6c 3d Ks 9d Jc Ad 4h Kh Ac 4d 4s 2d 2s 9c As 7s 7c 6h Js 5h 6s 2h Ah];[Qc, Qd, Th, Qs, 3s];null;null;null;b1[c:94,5] Hero[c:0,9] ;b1(11) Hero(1) ;1;b1[Ks, 9c]17098;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6d 6h Qh 7c 4c 3d Ac 5h 5d 9h 2d Kc Ts Ad 4s 7d Ks 2c Ah 4d Jc 6c 3c 5c 7h 8s 3h 7s 8c Tc 3s Js 6s Jd Jh 9d Kh 2s 9c Td 5s 9s 4h 2h As 8h];[Qc, Qd, Th, Qs, 6d];null;null;null;b1[c:94,5] Hero[c:0,9] ;b1(22) ;-10;b1[Ks, Jc]17099;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ts Js 9c 2c Ad Jh 6c 6d 9d 3s 7d 9h 5h 4s 5d 2d Kh 7s Ks Jd 6h 2h Ac 4h 3h 9s 6s 7c 4c 7h Qh Tc 3c Jc 8c 2s As 8h 8s 4d 3d Kc 5s Ah Td 5c];[Qc, Qd, Th, Qs, Ts];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(11) Hero(1) ;1;b1[Ad, Tc]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ Td 7h Js 5d 5h 3d Jd Qh 2c 7s 5c 8h 9h 3c Jh 8c Ah Ks 7c 2d Jc Tc As 2h 4s 2s 6s 3s Ac 9s 4h 6c 4d Kh 9d Kc Ts 7d 4c 6d 3h 5s 6h 8s Ad 9c];[Qc, Qd, Th, Qs, Td];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(11) Hero(1) ;1;b1[8h, 9c]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ 2d 5h Jc 8c Kh 9c 7s Ad Td 9d 2h Jh Ts 5s Qh Js As 7c Ks 5d 9h 7d 3c Ac 4h 2s 8h 7h 9s 4c 3h Tc Kc 6h 6s Ah 3s 6c 5c 2c 3d Jd 6d 4d 8s 4s];[Qc, Qd, Th, Qs, 2d];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Ad, 5c]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2d 9d Ac 9s 9c Ah 5d Ad 3c 9h Tc 6h 5c 4c 6d 6s 8c Ts Qh 2c Kc 6c 3d 4h 8h 7c 4s 4d 3s 3h Js Kh Jh 7h Ks 8s Jd 5h 7s 2h 2s 7d Jc 5s As Td];[Qc, Qd, Th, Qs, 2d];null;null;null;b1[c:94,5] Hero[c:0,9] ;Hero(12) ;12;b1[9d, 8c]17080;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Td 8c Qh Ac Tc 8h 2d Js 7s 9s Jh 8s As 9c 5c 5s Kh 4s Ks 6s 6h 3d 9h Ts 7c 4d 6d 7d 6c 3c 4h 3h 2c 4c 5h Jc 7h Kc 5d Ah 2s Jd 9d 2h 3s Ad];[Qc, Qd, Th, Qs, Td];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(11) Hero(1) ;1;b1[9h, Ah]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ 7s 8s As 9c Tc Ad 2d 3s Jh Qh 4d 6d 5d 5h Jc 7h Kh 4s 4h Jd 2h Ah Td Ks 9s 3h Js 4c 3d 6s 8c Ac Kc 7d 8h 5c 6c 6h Ts 5s 7c 2c 9h 9d 2s 3c];[Qc, Qd, Th, Qs, 7s];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[6s, As]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Tc Jd Ks Ah 4s Qh 2d 9h 3s 9d 9s Ac 5s 9c 4h 5d 6c 7c Jc 8h 2h Kh 5c 5h 3c 6s Ad 6d Jh 4c 7d As 3d 7s 2s 4d 3h Td 2c 7h 8c 8s Ts Kc 6h Js];[Qc, Qd, Th, Qs, Tc];null;null;null;b1[c:2,3] Hero[r:0,9] b1[c:2,3] ;b1(15) Hero(1) ;1;b1[4h, 4d]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ 4h 9d 2c 6s Js 2h Ac 6d 8c Ad 6c 9s 9h Tc 5h 8s 5d 4c As 2d 5c 3c 6h 4d 9c 7d Ts 7h 5s Jd Qh Ks Jh Kh 3s 2s 3d Td Jc 4s 3h Kc Ah 7s 8h 7c];[Qc, Qd, Th, Qs, 4h];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Td, 2c]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9d 8h 4s Jh 6h 7h 2s 4h Ts 3s 4c 3h Kc 4d 8c 9s Qh 2h 6c Js 6s Td As Ks 6d Kh 5c 9h Ah 3d 8s 3c Ad Tc 5d 7c Jd 5s 2d Ac 7d 9c 7s Jc 5h 2c];[Qc, Qd, Th, Qs, 9d];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Ks, Ac]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6d 8c 2d Td Jh Ts 3c 6h 9h Kh 2s 3h 2c 3s 6c 4c 4h Tc 9c 7c 9s Qh 5d Jd 6s 5c 7h Js 4s 8h 4d As Ad 3d 2h 5h Ah 7d Kc 9d 7s Ac Ks 8s Jc 5s];[Qc, Qd, Th, Qs, 6d];null;null;null;b1[r:8,78] Hero[f:96,4] ;{10} ;-10;b1[Qh, 2c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 8h Jc 7d 9h 6h 5c 4s 8s 5h As Ah 2d 9s 3d Ad 3h Jd 4d 6d 7s 3s Ks 5d Td 2h 4h Ts Ac 8c 7c 3c Kh 2s Tc 5s Jh 6s 9c 6c 7h 2c Qh Js 9d Kc 4c];[Qc, Qd, Th, Qs, 8h];null;null;null;b1[c:94,5] Hero[r:0,87] b1[c:2,3] ;Hero(16) ;16;b1[7h, Ah]17108;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ Jd Jh 2d 4h 7d 6c As 7c 2h 3c Td Js 9c Tc 9s Ad 6s 8s Ah Kh Jc 9h 4s Ac 5s 7s 6h Qh 3h Kc 2c 5h 5d 7h 4c Ks 2s Ts 8h 4d 6d 9d 8c 3d 3s 5c];[Qc, Qd, Th, Qs, Jd];null;null;null;b1[c:94,5] Hero[c:0,9] ;b1(22) ;-10;b1[7c, Ac]17109;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 3d 2h Jc 5c 7c Jh 6h Js Kc 8h Ks 9h 5h Jd Tc Ah 4h 8c 3s Td 3c 6s 9d 7h 2s 4d Ad 5s 6d 2d 8s 7d 7s 6c Ac 2c 3h 9c Qh 4c Kh 9s As 5d 4s Ts];[Qc, Qd, Th, Qs, 3d];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Ah, Ac]28804;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5d Tc 6h Ac 4d 2c 7s 9h 2h 5h 6c 4s 5c 3c 3h Jh 8s 9d 8c As 5s 4c Kc 7d 4h 6s 6d 3s Td Kh Ah 9s Qh 8h Ad Ts 7c Jd 3d Ks 7h Js Jc 9c 2d 2s];[Qc, Qd, Th, Qs, 5d];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Jh, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Js 5s 3d As 5d Qh 7d Ah Kh 2c 4h 7h 2d 3h Td 6s 5h 6h 2h Jc Ad 8h Ac 6d 2s Jd 9d Kc 6c 9s Ts 9c 9h Jh 7s 4c 4s 3s Ks 8s 7c 4d Tc 3c 5c 8c];[Qc, Qd, Th, Qs, Js];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Ks, Jc]28802;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 9h Jc 2s Tc As Ad Kh Js 2d 7c 4h 3h Ac 6h 5h Jh 5d 6s 5s Td 9c 5c Ah 8s 6d 4s 9s 2h 3d 9d 7d 7s Qh 8c Ts Jd 8h 4d 3s Kc 4c Ks 2c 3c 6c 7h];[Qc, Qd, Th, Qs, 9h];null;null;null;b1[r:8,78] Hero[f:96,4] ;{10} ;-10;b1[Qh, Ah];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Jd 7s 4h Ah As 5s Qh 3h 6s 5c 5h Td 2d 4c 2c 9d Ts 2h 7d Jc Kc 8c 4d 4s 9s 7h 8h 6c 6h Tc 7c 6d 2s 9h 8s 5d Ac Js 3d Jh 3s Ks Ad 9c Kh 3c];[Qc, Qd, Th, Qs, Jd];null;null;null;b1[c:8,78] Hero[c:0,9] ;b1(22) ;-10;b1[Qh, Kh]32899;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 4c 2c 3s Ts 7d 6d 9s Jh 6h 2h 9d 8h Ac 8s 7c 9h 7h Js 5d 5c 2s 6s As 5s Tc 2d Jc Ah Td Kc 3c 4h Qh Ad Jd 5h 3d 7s 9c 4d Kh 3h 8c Ks 6c 4s];[Qc, Qd, Th, Qs, 4c];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[8h, 8c]28799;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6d 7s 3s 3c Ac 2c As 7d 4h Jh 7c Td 6c Jd 2h 9s 3h 9c Ah 2d 8h 4s 4d 2s 6h 5s Qh Ts 3d Kh Tc Kc 8s 5d 5h 9d Js Ad Ks 6s 4c 8c 9h 7h Jc 5c];[Qc, Qd, Th, Qs, 6d];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Ad, Jc]17109;b2;Hero[8d, Kd]17098;b0
