 Kd 8d Qs Th Qd Qc] [ 2h Ac Js Td 9c Jc 4d 6s Jh 9d 3d 7c 4c Tc 6c 2s 2c Qh 8h 5c Ah Ts 7h 8c 9h 3s 8s 6d 7s 4h Kh 9s 2d Ad 3h Ks Jd As 7d 3c Kc 6h 5d 5s 4s 5h];[Qc, Qd, Th, Qs, 2h];null;null;null;b1[c:6,8] Hero[c:0,23] ;Hero(8) ;8;b1[8s, Js]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Js Ks 3s 6c Td 8c 6s 7h 5d 4c 6h Qh 5s Ad 8h 3h 2h 4s Ts 7s 4h Jh 2c 9h 5h 7d 2d 9s Ah 6d Ac 4d 3d 8s Tc 9d Jc 3c 9c 5c Kh 7c Kc As Jd 2s];[Qc, Qd, Th, Qs, Js];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[8s, 9d]20488;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 2h 6d As Ts 3c 6s 6h Ks 9h Ah Ac Qh 9s Js Jd Ad 8c 3s Jc 2s 5d Td 8s 9d 4c 5c 2c 5s 7s 4s 2d 5h Tc Kh 8h Kc 3h Jh 7d 4h 3d 7h 7c 9c 4d 6c];[Qc, Qd, Th, Qs, 2h];null;null;null;b1[c:6,8] Hero[c:0,23] ;Hero(8) ;8;b1[9d, Jc]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6c 4c 9h Td Jd Kc 2h 5s 4h 4s 8h Jc 6h 2d 9d 5c 6s Js 3s As 8c Ah 6d 7d 2s Qh Ts 2c 7c 3h 5h 8s Kh Ad 3d Ks 3c 4d 9s 9c 7h Tc 7s Ac Jh 5d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[7h, 7d]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ac As Td 8c Jh 4d 6s 7h Js Tc Kh 5d 3h 3s 3d 3c 8s Ts 5s 7s Qh Ks 9c 2h 2c 5c 6d 9s 9d 7c 4s 5h 4c 4h 6c 9h 7d Jd Ad Jc 2d 6h 8h Ah Kc 2s];[Qc, Qd, Th, Qs, Ac];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[8c, Ac]28804;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ Td 2d 9h As Ad 2c Ac 2s 3s 4h 5h 8s 8h Qh 4s 6c 9s 4d 6d 5d Ts 2h 5s 7h Jd 9d 4c 7d Kc 3c 6h 7s Ah Jc 3h 7c Ks 8c Kh Tc Js 3d Jh 9c 5c 6s];[Qc, Qd, Th, Qs, Td];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(7) Hero(1) ;1;b1[9c, Jc]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ Ad Kh 2c As 2h Ks Ts Tc 4s Qh 4d 5h 3h Jc 9s 7h 3d 9c 7s 8h Js 6d 8s Jh 5c 9h Kc 4h 3c 7d Jd Td 9d 2s 5s 6h 5d 4c 6c Ac 7c 3s 8c Ah 6s 2d];[Qc, Qd, Th, Qs, Ad];null;null;null;b1[c:6,8] Hero[c:0,23] ;Hero(8) ;8;b1[8s, Js]17109;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 5d 8s 4h 5h 8c Jh 3d 5s Ad 4c 4s 6h 8h Ah Kh Ts Ks 7s 9h Tc Jd Qh Ac Jc 4d 9s 7d 6d Td Js As Kc 6s 3c 2s 2d 2h 3h 7h 9c 7c 9d 5c 6c 2c 3s];[Qc, Qd, Th, Qs, 5d];null;null;null;b1[c:6,8] Hero[c:0,23] ;Hero(8) ;8;b1[6c, 7c]17078;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9s Kc 4d 3s Ac 6s 9c 8s 6d 8h 3h Ah 3d 9h 4h 9d Js 2s 5s Kh Ts 5d Tc 3c Jc 5h Ks Jd 7h Ad Qh 2d 5c 2c 2h As 8c 4s 7d 4c 6c 7c Jh 6h 7s Td];[Qc, Qd, Th, Qs, 9s];null;null;null;b1[c:6,8] Hero[r:0,23] b1[c:6,8] ;b1(22) ;-10;b1[2s, 2c]28793;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3h 8c 2d Ah 2h 3c 8s 9d 2s 3s Tc 8h 5c 6c 7d 6d 4s Jc 5d 4h 4d 9s Js 5h Ks Qh 5s 7s Td 6h 7h Ac As 7c 9h 9c 3d 6s Kc Jd Jh Ad 2c Ts 4c Kh];[Qc, Qd, Th, Qs, 3h];null;null;null;b1[c:6,8] Hero[r:0,23] b1[f:6,8] ;Hero{8} ;8;b1[Kh, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 9d Kh 7s Ts 8s Jc Kc Jh 6h As Ac 9c Ad 3c 7d 4d Ks 4s 2s 5c 5s 9s 3h Td 6c 5h Qh 8c Js 6d 5d 3s 7h 4c 8h 2c Jd 6s 3d 9h 2h Tc Ah 4h 2d 7c];[Qc, Qd, Th, Qs, 9d];null;null;null;b1[c:6,8] Hero[c:0,69] ;b1(14) ;-6;b1[9s, Ac]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6c 4d 5s 4c 2d 8h Js 8c Ks 2s Kc Ts 9c As Td 6s 4s 3h 5h 2h 7d 5c 9s Ad 8s 3s Qh 9d 4h 9h 3d 7s Ah Kh Jd Tc 7h Ac Jh 3c 5d 6d Jc 7c 2c 6h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[6s, 6c]28797;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 8h 9c 8s 7c 5c 2d 7h 5h 2s Kh 2h 5d 6s 7d 6h Jh 4s 3h 8c 3c 4h Ad Tc Jd Ac Ts 9d Ah Qh 6c 9s Jc Kc 5s As 3s 6d Js 7s 9h 2c 3d Td Ks 4c 4d];[Qc, Qd, Th, Qs, 8h];null;null;null;b1[c:6,8] Hero[r:0,69] b1[f:85,14] ;Hero{8} ;8;b1[8s, 8h];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Td Tc Ah 6d 5s 6h 4c Qh Jh Ac 2d 8h 2c 7h 9h Js 6c As 3s 9s Ts 4s 8c 3d 4h 7c 6s Jc 9d 7d 2h Ks 8s 5d 3h 3c 7s 5h Jd 9c Ad 4d Kh 5c 2s Kc];[Qc, Qd, Th, Qs, Td];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[Js, Jd]28802;b2;Hero[8d, Kd]28801;b0
