 Kd 8d Qs Th Qd Qc] [ 7s 2d 5c 7d 9s Jd Jc 4d 2c 3c Qh 8h 3h 4s Tc 9h Ks 4c 2s 6d 6h As 6c 9d Ah Ts 7c 4h Jh 8c 7h 6s Ad Js Ac 3s 8s Kc 5h 2h 5s 9c 3d Kh Td 5d];[Qc, Qd, Th, Qs, 7s];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[Ks, As]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ac 8c 5h 3s 4d 2s 7s 2d 4h 5d Ks 9s Jd 2h 5c Kc 3h 7h 3d 6s 9d 8s 5s Jh Js Jc 2c 3c 4s 9c 7d 6d As Tc Ah 6c Ts 6h 4c 8h Qh Td Kh 9h Ad 7c];[Qc, Qd, Th, Qs, null];null;null;b1[f:13,9] ;null;Hero{12} ;12;b1[Ts, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 3s 4c Ah 7s 9s 5h 6s 3h Ks 2h 6h 9c 2c 3c 3d Qh Kc Kh 8s 9h Tc 5c Ts Jh Jc 7c 8h 9d Ac 2d 7d Td 4d Js 6c 4s 6d Jd Ad 5d 2s 5s As 4h 8c 7h];[Qc, Qd, Th, Qs, 3s];null;null;b1[r:13,9] Hero[c:0,27] ;b1[c:4,5] Hero[r:0,77] b1[c:4,5] ;b1(46) ;-22;b1[Kh, Ac]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6c Kc 4d Td 5s 7s Ks 3s 8c Ad 3c 4h 6s 6d Ac 7c 5c 9d 6h 5h 5d Qh 8s 7h 8h Ah Jh Tc 9c 2s 2d 7d 4c Jd 2c 9s Js 3d 3h As 9h Jc 2h 4s Kh Ts];[Qc, Qd, Th, Qs, null];null;null;b1[f:12,66] ;null;Hero{12} ;12;b1[Ks, Jd];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6h Ts 8s 4c 5h 7d Ah 7s 5c 6d Js Ks 9s Ad 2d 8h 4d 5d 3h Td 5s Kc 3s 9h 2c Jh 7c 6c Jc Jd 9c 2s Qh 6s Ac 3c 8c 4h As 7h Tc 4s 9d Kh 3d 2h];[Qc, Qd, Th, Qs, 6h];null;null;b1[r:13,9] Hero[c:0,27] ;b1[c:14,64] Hero[c:0,17] ;b1(38) ;-18;b1[7s, 7h]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Kh Js 7c Jh Td 9d 6c Ah Ks 3c 8c Jd Qh 2h 7d As 9c 6h 8h 4c 3d 5c 5h Tc 5s 6d 9s 2c 5d 3h Jc 2d 4h Ts 6s 3s Kc 8s 7h 7s 9h 4d Ac Ad 2s 4s];[Qc, Qd, Th, Qs, Kh];null;null;b1[c:13,9] ;b1[r:14,64] Hero[c:0,17] ;b1(19) Hero(1) ;1;b1[Ks, Td]28803;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 4s 3h 7s 9s Td 8h 5s Ac Ts 4h 5h 4c 5d 2s 9d Ah 6s Kh Kc 9c 2h Ad Tc Ks 5c 2d 4d Jh 7h 9h 3d 6c 3s Jc 6d Js 8s 2c As Qh 8c 7c 7d Jd 6h 3c];[Qc, Qd, Th, Qs, 4s];null;null;b1[r:13,9] Hero[c:0,27] ;b1[r:14,64] Hero[r:0,17] b1[c:4,5] ;b1(54) ;-26;b1[9s, 9d]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Jh Tc 3c 3h 2s 4h 6c Ks 5h 3s 8h 8c Js 6h 4c Jc 7d 4s 7h 9h 7s Kh As 9s 3d Ac Qh Ts Kc 4d 2d 7c Ad Ah 9c 5d 9d Jd 2c 5s 2h 6s 5c 8s Td 6d];[Qc, Qd, Th, Qs, null];null;null;b1[f:13,9] ;null;Hero{12} ;12;b1[6s, 6d];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 3c 8s 7c As 9c 7d Kh Ac 5c 4d Kc Ts Qh 6h Js 2s 2h 3d 6d Td 2d Jc 3h 6s Jh 4s 8c 5d Jd 9s 5s Ad 9h 9d 4c 8h 4h Ks 5h 3s 7s 6c Tc 7h 2c Ah];[Qc, Qd, Th, Qs, 3c];null;null;b1[r:13,9] Hero[r:0,27] b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(46) ;-22;b1[7s, 7c]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ts Ks 3s 2s Jd Js 9s 7c 6c 5c 6s Ac 9c 4s As Kc 7s Ah 5d 4d 8h 7h 8c 7d 6h 5s 9d 3h Jc 4c Td Jh 6d 2d 2h 9h 3c 8s Kh Qh 4h 2c Tc Ad 5h 3d];[Qc, Qd, Th, Qs, Ts];null;null;b1[r:12,66] Hero[c:0,27] ;b1[c:4,5] Hero[r:0,17] b1[f:89,10] ;Hero{20} ;20;b1[Ts, 9h];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ks 8s 8h Jd 7h Tc 6d 3c 9d 3h 3s Jh 2d 7c 6c 7s 4s 4d Ah 5c Td As Jc Ac 4h 9s 6s 2h 5h Kh 5d 2s Qh Ad Ts 6h Js 9h 4c 9c 8c Kc 7d 2c 5s 3d];[Qc, Qd, Th, Qs, Ks];null;null;b1[c:77,17] ;b1[c:4,5] Hero[r:0,77] b1[c:4,5] ;Hero(20) ;20;b1[As, 9d]17110;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 5s 3c 4c Ks 3d 4s 6s Kh 5c 6h 4h Tc 9d Js 6d 2s 5d As Td Ah Jc 5h 8h 8s 7c 7d 6c 2d 4d Jd Qh 7s 2h Ac 9c 9s 3s 8c 9h 7h Ts Kc 2c 3h Jh Ad];[Qc, Qd, Th, Qs, 5s];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[Ts, 6c]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7d 9h Ts 8h 5c Ks 7s Kc 5s Ah 5d 2d 9d 7c 3s 6d 9c Qh 6c 6s Kh 3d Ad 2c 8c 4h Jd As Tc 8s Js 9s Ac 4s 4c Td 3c Jh 7h 6h Jc 3h 5h 2s 2h 4d];[Qc, Qd, Th, Qs, null];null;null;b1[f:77,17] ;null;Hero{12} ;12;b1[8s, As];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2s Jc Tc 8c 3s 4h 6d 4s Kh 5c Ah 9h Ac 7c 8s 7s 4c 6s 9s Qh 4d 9d Td 7h 6h 9c 2c 3h 8h Kc Ad Ts 3c 7d 6c Jh 3d 5h 2h As Ks 5d 2d Jd Js 5s];[Qc, Qd, Th, Qs, 2s];null;null;b1[c:13,9] ;b1[r:14,64] Hero[r:0,17] b1[c:4,5] ;b1(46) ;-22;b1[2c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2c Kh Js 6c Td 7d 6s 8s 2s Ts Ad 9d 3d 6d Tc 9s 4s 2d Kc 8c 7c 3h 4c 4h 9h Ks As Jh 3c 7h 5s 4d 9c Ah Qh 3s 5d 7s Jc 6h Jd 5c 8h 2h 5h Ac];[Qc, Qd, Th, Qs, 2c];null;null;b1[r:13,9] Hero[c:0,27] ;b1[c:4,5] Hero[c:0,17] ;b1(38) ;-18;b1[Ks, Ad]17110;b2;Hero[8d, Kd]17098;b0
