 Kd 8d Qs Th Qd Qc] [ Ad 2c 2h 7h 9c 3c 4d 8c Ks Ts 4s Tc 8s Js 8h 6c 6d Ac 3d 2d 5s 2s 4c Kh As 7d 7s 4h 6h 7c 3s Qh Jc 3h Jh Ah 6s Td 5c 9h Kc Jd 9d 5d 9s 5h];[Qc, Qd, Th, Qs, Ad];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[9h, Ac]28804;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ Tc 8c Ad 6c 9d Ks Js Jc 7s 4h Kc As 5c 9c 2h 7c 6h 2s 3h Td 3d Qh 9h 6s 9s 5d 8s 3s 8h Jh 4s Ac 2d 5h 6d 5s 4c Jd 2c 7h 4d 3c Ah Ts Kh 7d];[Qc, Qd, Th, Qs, Tc];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(11) Hero(1) ;1;b1[Kh, Jd]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ 7s 3s Jc As 6h Js 2d 4h Ad 3h 2c 8c Kh Qh 7d 5h 9c 3d Jh 6c 8h Kc Td 7c 5d 9s 4s Ts 6d Ks 2s 9d 5c 4d 3c 8s 7h 6s Tc 2h Jd Ah 9h 4c 5s Ac];[Qc, Qd, Th, Qs, 7s];null;null;null;b1[r:14,64] Hero[f:92,7] ;{10} ;-10;b1[Qh, 5c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2h 5s Kc 9s Jc 7d As 6h Qh 8h 2d 9d 3s Jh 7c 9c 6c 5c Js 3c Ks 9h 6d 4h Kh Ad Td 4s 4c 8c Ah 3d 5h 6s Ts 4d 3h 8s 7s 2c 5d 2s Ac Jd Tc 7h];[Qc, Qd, Th, Qs, 2h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Ah, Kc]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2s 4h Tc Ah 8h Jc Td 7h 9d Ts Ad 3s 6c 3c 8s 4c 2d 5c Jh 7s 5d 6d 6s Js Kh 6h 7c Qh Ac 2c 9c 5h 7d Jd 3d 4d 8c Kc As 9s 5s 2h Ks 9h 4s 3h];[Qc, Qd, Th, Qs, 2s];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[6d, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4d 2d 8s 3d Qh Ad 3s 6d 2c As 6s 9d 8h Tc Ts 4h 3c Td 5c 2h Ah Kh 5s Jh 9c 4c Ks Ac 7d 8c Kc 9h 3h 5h 7h 4s Jc Js 7c 6c 5d Jd 6h 2s 7s 9s];[Qc, Qd, Th, Qs, 4d];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[7s, 7c]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6c 6h 2s 5s 3h 2c Ac 7d 8s Ad 9s Jd Jc 5c 9d Kc 4s Kh 8c 4h 6s 7s Qh 7h 3d 5h Ts 4c 6d 9c 3c Ah 8h 4d 3s 2h Td 9h 7c As Js 5d Tc Ks Jh 2d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(30) ;-14;b1[2c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ac Kc 2s 3h 8c 7h 6s 2c 9s Js 6c 4s Ts Tc 4c 2h 3d Td Qh 9d Jc 7d 8h Ad 3c 5c 9h 7s Jd Jh 2d As 6h 9c 8s 4h 4d 7c Kh 3s Ah 5s 5d Ks 5h 6d];[Qc, Qd, Th, Qs, Ac];null;null;null;b1[c:89,10] Hero[c:0,17] ;b1(11) Hero(1) ;1;b1[Ks, 9h]17110;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ Ac 2h 2d 6c 9h 6d Ts 3h Kh Jd 2s Kc Js 5h 9s Qh 9c 4s 4c 5c Jh 8c 5s 3d 3c 6h 7s 8s 8h Ks 4h Ah Tc Td 5d 6s 2c 7c Ad As 7d 4d 3s 9d 7h Jc];[Qc, Qd, Th, Qs, Ac];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[8h, 8c]28799;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ Ac 9s 9c 7h 2h 7s 9d Jh 2s 6h 2c Kc 3d 4s 8c 2d 8s 7c 6c Kh Jc As 4c 7d Ad Ks 8h Td 4d 5c 5h Jd 5d 4h Tc Js 6d 5s 3c 9h 6s Ah 3h Qh 3s Ts];[Qc, Qd, Th, Qs, Ac];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Ts, Jh]28801;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ Kh 8c 2d 9s 5s 7h 3d 4s 9h 2s 7c 4c 5d 6c 2h 4d Tc As 9d 8s 8h 7d Qh Ac 7s Ah Jd 4h Ad 5h 5c Ks Jc 6h Jh Js 9c Kc 6s 3h 2c 3c Ts 6d Td 3s];[Qc, Qd, Th, Qs, Kh];null;null;null;b1[c:14,64] Hero[r:0,77] b1[r:14,64] Hero[c:0,17] ;b1(38) ;-18;b1[Jh, Qh]32899;b2;Hero[8d, Kd]28803;b0
