 Kd 8d 6c Qs Th Qd Qc] [ 6h As Qh 2c Tc 3d 7d Ad Jd 9h 5c 5h 4d Ah 4s 7s 7c 2d Js Ts Jh Ks 2s 4h 8s 9c 4c 8c 6s 9d 3s 3c 6d Td 3h Kc Ac 2h 8h 7h 5d Kh Jc 9s 5s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[7c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Jh Qh 7s 6h 5d Jd 3c Ac 6d 9c 7h 5c 9s Js 9h Ad 8c 4d 6s Ks Kc 3d 5h 2c 2h 8s 4h 8h 4c 7d 7c Ts 2d Jc 3s 5s Td 9d 4s As Tc 3h Kh Ah 2s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Ts, Ac]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Jd 6d 8c Ad Ah 4c Jc Tc 4h 2s 3d 4s 2h 5h 8h 9s 3c Td Ac 5s Kh 4d 6h Ks 3h 7h Jh 9h 7s Ts Kc Qh 2c 5d 7c 5c 9d 2d As 7d 9c 3s Js 8s 6s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[7h, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 5c 6s 9s 4c 4h Ad 9d 8c 6d 2d 7h 3s 3c As 4s 4d 3h 2c 9c 3d Ah 5d 8s Kh Ks 6h Tc 2h 7c Qh 2s Kc 7s Ac Jd Ts Jh Td Js 5s 8h 5h 9h 7d Jc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[9h, Jd];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 3h Kh 4c Ts 5d Qh 9d 4s 3s 2h 9c 8h Kc Jh Jd 7c 5c 2s 7d 9s 6h 4h Js 5h As 9h Jc Ah 3d Td 7s 7h Ad 3c 8c 4d 6s 2c 2d Ac 8s 6d Tc 5s Ks];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:18,51] ;Hero{8} ;8;b1[2d, Jc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 5h 9d 2c 4h 5s Ad 2d 2h Jh 7d Jc Ks As 6h Kc 9s 8s 3c 3s Ac 4c 8c 4d 5c Td Ah 8h Qh Js 3h Tc 6s Kh 3d 7s 5d Ts 9h 2s Jd 9c 7c 6d 4s 7h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[8s, 9h];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 2s 8h 6h 3s Jd 8c 5s 4c 7c Kh 5c 2d 4h Ks 9h Jc 4d 6s 2c 9c 4s Jh 7h 3c Ad Ah Ac Tc Td 3h 6d Kc 7d 7s 8s 9s As Qh Js Ts 2h 9d 5h 3d 5d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:6,8] Hero[f:88,11] ;{10} ;-10;b1[7c, Ac];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 9c 7s 4s 7d 8c 2d 5c 4d Ah Ts 6h 7c 7h 3s 6s Tc Td Ad 2s 3d 6d Jc Ks 9h 2h Js 8h 5s 5h Ac 4h 2c Jd Jh 9d 9s 3h Qh Kc 3c Kh 8s 4c 5d As];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[9h, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9d Ac 2c Js Jd 8h 5c 6h 3s 7s 7h 7c 2d 6d 6s Ts 7d 4h 9h Qh 9c 3c 3d 8c 8s 2s Ks Tc Ad 5d Jc 5h Kh Ah 4s 4c 2h Jh Td 4d Kc 5s 3h 9s As];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[9h, Jh];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Tc 4s 2h 5d 2d 6h 3d Qh 4d 5h 7h 2c 9c 8s Ks 8c Jd 7c Js 4h Ts 7d 3h Kc 2s 3c 5s 9h As Jh Ad Jc 9d Kh 3s 6d 9s Ac 8h Ah Td 6s 7s 5c 4c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Ks, As]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ac 6h Ah 3s 9h 3c 7s Ad 3h 4h Ks Jc 6s As 2s 3d Ts 4c 7h Jd 5s 8s Tc Kc 5h 7d 5c 9d Qh 6d 2c Td 5d 8c 9c 8h 7c 4d 9s Jh 4s 2h Js Kh 2d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:85,14] Hero[f:88,11] ;{10} ;-10;b1[9h, 8c];b2;Hero[8d, Kd];b0
