 Kd 8d Qs Th Qd Qc] [ Ks Td 2s 2h Qh 3s 8c 7s 9c Jd Ad As 6d 6c 4h Kh 8s Tc 9h Jc Js 9d Ts 6h 3h 6s 5c 3c 9s 5s 7h Jh 2c 4s 7c 5d 3d 8h Ac 2d 5h Kc 4c 4d Ah 7d];[Qc, Qd, Th, Qs, null];null;null;b1[f:87,9] ;null;Hero{12} ;12;b1[Ah, 7d];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 5d Js 2d 8c 5s 7h 4h Td Qh 3h 9d 5c 9c Ah 2c 6h As 4s Kc 6d 9s 4c Kh 6c Ad 2s Ts 3c Tc 8h 2h 7c 5h Jd 8s 9h 6s Jc Jh Ac 3s 4d 7d 7s 3d Ks];[Qc, Qd, Th, Qs, null];null;null;b1[f:87,9] ;null;Hero{12} ;12;b1[6c, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6c 9s 6d Tc 3c Ts 3s Jc As 2s Ah Kc 4h 5s Qh 4c 5h Ad 5c 2c 2h Td 8c Jd 5d 7c 4s Ac Ks 6h 7d 9c 7s 9d 3d Kh 4d 2d 3h Js 8h 8s Jh 7h 6s 9h];[Qc, Qd, Th, Qs, null];null;null;b1[f:87,9] ;null;Hero{12} ;12;b1[Ks, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ks 3s Ah 5s 3d 2d 5h 6s 9s 8c 7h As 6d Kc 3c 4h Td 7s 5d 4s 9d 2c Jd Ad Tc Kh 9c 8h Qh 2h Js 6h 7d 8s Jh 3h Jc 9h 5c Ts 2s 4d 6c 4c Ac 7c];[Qc, Qd, Th, Qs, Ks];null;null;b1[c:8,5] ;b1[c:2,3] Hero[r:0,87] b1[r:2,3] Hero[c:0,9] ;Hero(24) ;24;b1[Td, Ad]28801;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 8h 2h 6c 4s 2c 3d 7d Qh 3s 7h Jh Jd 2d Tc 3c 5c 8s 4d 9h 9d Kc 5s 8c Ts Ad 6s 7s Ah Js 3h Ac 6h 5h Kh 7c 9c 5d 2s Td 4c Jc 9s Ks 6d As 4h];[Qc, Qd, Th, Qs, 8h];null;null;b1[c:8,5] ;b1[c:8,78] Hero[r:0,87] b1[c:2,3] ;b1(38) ;-18;b1[Td, 8c]28801;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ 5h Td 3d 6d 4s 5d 3c 9h 3s 6c 7d Qh Ad 2c 8s 4d 9c 6s Ah 6h Js 8h Jc 9d 3h 7s 2h Ts 8c As Kc Jd 2d 5s Jh 9s 2s 4h 7h Ks 7c Kh 4c 5c Ac Tc];[Qc, Qd, Th, Qs, 5h];null;null;b1[r:7,80] Hero[c:0,16] ;b1[r:8,78] Hero[c:0,9] ;b1(46) ;-22;b1[Qh, Jc]32898;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ah Ad 5s 9d 4s 6c 2s 7c 5c 7s 8c Tc Jd Td Kh 9s 6s Ac 9h 6d 4c 7h Js 3c Jc 3s 2c As 5d 3h 4h Kc 8h 4d Ks 5h Qh 7d 3d Jh 2d 6h 8s 2h 9c Ts];[Qc, Qd, Th, Qs, null];null;null;b1[f:87,9] ;null;Hero{12} ;12;b1[9d, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 7s 5h 8c 4c Ks Ac Ah 3c Qh 9h 3s As 4d Jh Kc 2s 8h 3d Ad 7c 2d Tc 9d 8s 9s 6h 7h Kh 5c 4s 2h Jc Ts 6c Td 7d 5s 5d 3h 2c 9c Jd 6d 6s 4h Js];[Qc, Qd, Th, Qs, 7s];null;null;b1[c:8,5] ;b1[c:2,3] Hero[c:0,9] ;b1(30) ;-14;b1[6s, 6d]28797;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7d 6d Ts Jd 6c Qh 2s Jh Ad Td 9d Jc Ac 4c 4h 8s 9h 4s 6s 2h 2c 3c 9s 2d 7c 7s 3d 6h Kh Ks Js 5c 5d 9c 5s 4d Tc 7h Ah 8h 3s 8c 5h Kc As 3h];[Qc, Qd, Th, Qs, 7d];null;null;b1[c:8,5] ;b1[c:2,3] Hero[c:0,9] ;b1(30) ;-14;b1[9s, 9h]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5h As Tc 7h 9c 2c 2h 9h 9d 5c 7d 6d 6h 5s Ac 7c 4d Ks Kh 3s 5d 3h Qh Jc 4c 3d 2d 6c 3c Ts Js 7s 6s 8h Td Ad Jd 8c 4h 8s 4s 9s Jh 2s Ah Kc];[Qc, Qd, Th, Qs, 5h];null;null;b1[c:8,5] ;b1[c:2,3] Hero[c:0,9] ;b1(30) ;-14;b1[Ts, 8c]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Tc 6h 9s 2s Ts 5h 5s Qh Ad 3s Jd 4c 2h 6d 6s 8s 8c 9h Ah Ks 6c 7h 5d 3d 8h Jc 9d 4s 3c 7d Jh 2d 3h 4d Ac 7s Js Kh 7c 4h 9c 2c Kc As 5c Td];[Qc, Qd, Th, Qs, Tc];null;null;b1[c:8,5] ;b1[c:2,3] Hero[c:0,9] ;b1(15) Hero(1) ;1;b1[2d, Td]28801;b2;Hero[8d, Kd]28801;b0
