 Kd 8d 6c Qs Th Qd Qc] [ Jc 2s Ks 7h Qh 2d 5s 3h Ac 7d Jh 8s 9d 3s 7s As 2c 4s 5d 6s Kh 4d Td 6h 5h 9s 3d Ts 5c Tc 9c 8c Js Ad Ah Jd 8h 4c 6d 9h 4h 3c Kc 2h 7c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[4d, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4s 2h 2c 7s 6h 2d Jh Jd Ts 5d 5h Qh 7h Ah Ad 5c 8h 9s Kc 6d 3h 3s 9h 4d 6s Kh 7d Tc 2s 7c Jc 8c 8s Ks 4c 9c 3c 4h Ac 3d Js As 5s Td 9d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ks, Ad]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3s 3c Js 6h 5d 5s Jd Jc 7h 9s 2d 5h Kc Ad 8h 5c 9h 3h 9d Ah 4c 2s Tc Jh Ts 3d Qh Td 4d 6d 2h Ac 8s 2c 7c 8c 7s 4s Kh 6s 9c As 7d Ks 4h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[2d, 2c]28793;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7d 6s Tc 4s 8h Ks 7c 2s 6d 3s 5d Ac 9c 5c Td 9d 3d 5s 2d Kc 4h Jc 2h Kh 4d 4c 7h 2c Js Jh 8c Jd 7s 3h 8s 6h 9s As Ad Ah Ts 5h 9h 3c Qh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[8h, 8c]28799;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Jd 9s 3h 5s 3c 7c 4s As 5d 8h Ac Ks Td 3s 2d 6d 2s 6h Ts Ah 2c 2h 9d Kh 7d Jc 5h 7h 6s Ad Qh 4c Tc 7s Kc Jh 4d 8c Js 8s 9h 5c 3d 4h 9c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[7d, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9c Jc As Kc 4c 2c 3d 3c 2h 7d 6s Ad Ah 8h Jd 9s 7h 4s Td Jh 2d 5c 7c 5s 6h 9h Js 8c 3s 7s 6d Qh 3h 2s 5h Ks Ac Tc 9d 4h 5d 8s Ts Kh 4d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[8s, As]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2h 3c Kc 8s 6h 9d Ts 7c 5d As Ks Td Ac 9c Qh Tc Ad 6s 4h 2d 7h 4s 5c 8h 8c 4d Jc 2c Js 4c 7d 9s 5h 3s Jd Ah 7s 2s 3d 6d 5s Jh 3h 9h Kh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[7s, 7c]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4c 8s 5s Ac 4s 9d 4h 5d Jh Jd 9c Ah Td 9h 8c 3d As 7c 2c 4d 3h Kh 3s 7s 6h 2h Ts Tc 7h Qh 9s Jc 5c Ks 2d Kc 6s Js 2s 5h 7d 8h 3c Ad 6d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:4,5] ;Hero{16} ;16;b1[4s, 4c];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 9d As Qh Ts Kh Tc 4s Js 5h 3h Ad 9s 5c Ac 3s Jc 3c Ah 6s 2s 3d Kc Ks 8c 7d 6h 7h 2d Jd 4d 9c 5d 4h 5s 6d 9h 8s 7c 7s 2c Jh 2h 4c Td 8h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[7d, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7c 7h 6s 5d 3d Qh 8c Ah 8s 9c 4h 6h 3h 2s Td As 5s 8h Ad Jh 7s Kh 9d 4d 4s Js Kc 9h Ks 7d Ac 3c Jc Ts 2d 4c 2h 3s 2c 5h Jd 9s Tc 5c 6d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[5d, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7c 8s 9d 3d 9c Jd 2c 8h Td 4s Qh As Jc 9h Ac 4h Jh 2h 5c Ah 4c 3c 3s 4d Tc Ts Js 9s 6s 6h Kh 5h 8c 2s 5d 7h 7s Ks 5s Kc 3h 7d 6d 2d Ad];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:89,10] ;Hero{16} ;16;b1[Js, 8h];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 7s 4d Ah 2c 6h Ts 5h 3c 2s 7h 7c Ac 3d Jh 9h 5d 4c Qh 7d Td 2d 6s Jd Js 9d 9s As 5s Kc 4h 2h 3s Ks Ad 4s Tc 9c Jc Kh 5c 8c 8s 8h 3h 6d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Js, Ac]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 5h 9c As 4d 2d 7s Ks 4h 8s 3c Ad 9h Jh 5c 7c 2h Td 5s 6d 3s Ah 5d Jc 4s 7d 8h Jd Qh Kh 2s Ac 9d 9s 8c 6h 2c Js 7h 3h 3d 6s 4c Tc Kc Ts];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ah, 9d]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ts 4h 8h Jh Jc 5s Ad 3h 2s Ac As Qh 2c 2d 7d 7s 9d Ah 5d Kh 9c 8s 2h Kc 7h 5h Jd Tc 3d 4c 3s 6h Js 4s Td 9h Ks 4d 6s 3c 5c 8c 6d 7c 9s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[3h, 3d]28794;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 5h 4d 3d Jc 4h 9s 4s 9h 7s 7d Js 5d 2h 2s 8s Ts Kh 3s 2d 3h Ac Ah 5s 8c 6s 7c As 2c 4c Tc Ks 6h 8h Qh 5c 7h Jd 3c Ad Kc Jh 9c Td 6d 9d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Js, As]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 8c 6s 9d 2h 5d 4s 3c 7h Kc Qh Jd Ad Ah Td 5h 4d 4c As Ks 6h Kh 4h 5c Tc 8s 7s Ac 2d 9h 8h 3d 2s 7d Ts 5s 2c 3s 6d 9s Jc 3h Js 7c Jh 9c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[4s, 4c]28795;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Qh 2c Kc Tc 2d 5h Ts 4s 9s 8c 8h Jh 6s 5d As 3d 4h 3h 5s 5c 2s 7d Jd 8s 9d 7c Td 6d Jc Ad 9c 7h 7s Js 6h 3s Ac Ks Kh 4d 9h Ah 3c 4c 2h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:89,10] ;Hero{16} ;16;b1[Js, 8c];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 4s Ts Kc 9d 4h 6s Ks Ac Tc 5h Ah 5c 6h Td 9h 7d 7s 4d 5s 8h 3h Qh 4c 6d 7h Ad 7c 2d Jc Kh 3s 5d 3d As 2c 9s 2h 8c Js 3c Jh Jd 9c 2s 8s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:4,5] Hero[c:0,17] ;b1(46) ;-22;b1[Ad, 9c]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4s 7s 9c Tc 2d 8h 5h 5s 3d Jc Jd 7d 3h 4h Kh 6h 4c Jh 3s Ad 5c 9s Kc 6s 5d 4d As Qh 3c 2h 8s 9h 9d Ah 7h Ts Ks 2c 8c 6d Td 2s 7c Js Ac];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[3d, 3c]28794;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Qh 9c Js 9h Kh 8h 4h 5c 7h 2h 3c 2s 6s Ad 8s Ac 2d Tc Td 5h 9s 3s Ks 4d Jc As 5d 5s 7d 9d 7s Jd Ah 8c 4s 7c Jh Ts 2c 6h 4c Kc 3h 3d 6d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[9h, 9d]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Jh 9s 2h As 9h 2c 7d Tc 3c 3d Ts 3h 6h 4h Td 9d Ks 7s 6d Kc Jc Qh Ac 4c 2d Jd 2s 5d Kh 6s 8c 5s Ah 9c Ad 3s 5c 5h 7c 8h 8s 7h 4s Js 4d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[7h, 7c]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9s Js 8c 3s Ks Ac 5s 9d 6d Qh 2d 3c 6h Jd 5h 8s Ad 2c 7s Kh 4c 7c 5d 2h Jh 5c As 3d 4s Td 4h 7h 3h Ts 7d 2s Kc 6s Tc 9c Jc 9h 8h 4d Ah];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ad, Kc]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ As 2s 3c 5h 9s 5s 9c Qh 3s 7d 6d 2d 4c Kc Js 8c Ah 4d 7c 5d 7s 2h 9h Jd 7h 5c Ac 8s 8h Ad Ts 6h 3h 6s 4h 3d Jh Kh 2c Tc 9d Td Jc 4s Ks];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:4,5] ;Hero{16} ;16;b1[As, Jh];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 7c 5d 6d 5c 4d 4s Ks Jd 9h 8h Ah Tc Jc Ac 6s 9s Td 5s 3s 3c 2d 4h Ts 8s 9d Kc Kh As Qh 9c 3d Ad 2s 3h 7h 2c 7s 4c 2h 8c Js 5h 7d Jh 6h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ts, 8h]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 8s 6d 8c 9d 2c 5c 7s 7c 5s 5h 9c 7h 9s Tc Kh Td 4h Kc Ks 3d 3c Ts 6h Ac 6s 3s 8h Jh 4c Jc Ah 2s 7d Jd 4s 2h Ad Js Qh 9h 2d 4d As 3h 5d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[As, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3d 9s Ks 3s Td 2c 9d Kh 7c 6s 6h 6d Ac 7s 3h 4c Ad Qh 7d Jh 2s 8c 3c Kc 4h 4d Ts 8h As 2h 5s 8s 5c Jc 4s 9h Js 2d Tc Ah 5h 5d Jd 7h 9c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[4c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9d 3h 2d Jd 4d Kc Js 3s Jc Ks Qh 4s Kh 3d Td 5c 9h Tc Ac 5d 6d 9c Ts As 7h Ah 7d 2s 7c 8h 8s 5h 8c 4c 3c 6s Jh 6h 2c 9s 4h Ad 2h 5s 7s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Kh, Ah]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Td 3d 7h Kh 2s 8c As Qh 2h 9c Kc Ah 3s 2c Jd 9d 8s 4c Jc 6h 5h 6d 4d 7d 3h 6s 2d 3c Js Ts Tc 4h 5d 8h 7s Ac Ks 7c Ad 5c 4s Jh 9s 5s 9h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[6h, Ah]28797;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2h 4c 5c 4d 6h 4h 6s 3d 9h 5d 2c Jh Ts 7s 5s 2d Js 7c Qh Jd Td 9c 6d Ac 2s Kh Kc 4s Ks 7h 9d Tc 3c 3h 8s Ah Jc 9s 5h Ad 8h 7d 3s As 8c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[9s, As]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Td 3s 8s 2c Jh 6s 7d Jd Ah 5d 3d 9h Ad Ts Kc 7c 7s 8h As Qh 2h 9d 9s 4c 3h 8c 6d Ks 4s 5c 5s 4h Jc 7h 3c 2s 9c Kh Tc Js 5h Ac 4d 2d 6h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[2d, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Tc 8s Kc Js 5s 8h 6s 8c Ah 2c As Ac 5h 4s Jh 4d 3h 3d 2s 9s Ad Kh 7s Ks Qh 3c 9d 6h 7c Jd 4h 6d 2d 5c Td 4c 7h 2h 7d 9c 3s Ts Jc 9h 5d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:4,5] ;Hero{16} ;16;b1[As, Jc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 9s 9d Tc 4h 3d 3s Ac 4d 7d 5h 3c 4s 9h 6s 7h 2s 2h 7c As Ks 8c Jd Kc Jc Kh 6h 6d 8h 5d Ad Jh Td Ts 5s 7s Qh 8s 2d 9c Ah 4c 5c 3h 2c Js];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Js, Ah]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 6d As Jh 9d Kh 2s 8s Qh 4c 5s 8h 3s 8c Jc 4s 5c Ac 7c 2h Ah 2d Jd Ad Ks 4h 9c 7h Js Tc 5h 6s 7d 6h Kc 4d 3c Td 9h 3d 9s 2c Ts 5d 3h 7s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:89,10] ;Hero{16} ;16;b1[8h, 9c];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 8s 6h 4h 9c Ts Ad 3s Jh Kh 9h Ks 2s 5d 9s 3d Ah 9d Td 3c 4d 4c 7d 3h Ac 2d Jd Tc 7c 5h Qh 8h 5s 2h 7s 2c Kc As Jc 6d 8c 7h 5c 4s 6s Js];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[8c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ah Ts 6s 9s 7c 3s 5d 4h Jd 2h 5c Kh Jh As 7h 8c Jc Qh 3d 9h 6h Td 2s Kc 8h Ac 2d 4c 9c 7s 3c 2c 7d 4d 3h 6d 4s 8s Tc Js Ks Ad 9d 5s 5h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ah, Jc]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ks 6s Td 7h As Jc 3d 3c 7d 2s 2c 3s 9h Kc 6h 7c 4d Tc 8h 6d 8s Ah 9s 9c Jh Jd 8c Ac 9d Kh 5h 3h 5d 5c Js 5s 7s 2h 4c 2d 4s Qh Ad 4h Ts];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[5d, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3s 7c Kh 7s 5c 3d 2c Td Ac 2h Ts 6s 8h 2d Qh 3c As 9d Ah 8s Js 5s 5d 3h Jh Jd Ks 7d Kc 4d 9c Ad 4c 5h 4h 6d Tc 9h 7h 9s 8c 4s 2s 6h Jc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[5d, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Jh 5c 8c 7h As 2d 8s 6h Jc 4d 5h 7d Kc Jd 9c 3s 9s 7s 3c 9d 2c Ah Js Ts 4h 6s 5s 6d 5d 2h 3h Tc 3d 9h Ks Ac Qh 7c Ad 4s 8h 4c Kh Td 2s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ad, Kc]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3h Td Ac Ah 4h Jc 3c As 3d 9c 6h 5d 4d 5s 2h 5c 9h 2c 3s 7s 9d Ts 4c Qh 5h Kh 9s 6d 8c 7d Jh 7h Tc 7c 8h 8s Jd Ad Js 2s Ks 4s Kc 2d 6s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[9d, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 8h As Tc 5c 6d 5d 3s Ts 3c 4d 9h 5h 7h 4h 8c 9s 3h Jc 2d Js 4c Ad Ac 7d 6h 7s Kc Ah 6s Jd 7c 9d Ks Kh 2s 4s 5s Qh Td 2c 3d 8s 2h 9c Jh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ah, 8c]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2d 9s 8s 8c Jc 8h 7h 4d 2c 4s Kh As 6h 7s 2s Ks Kc Ac Td 9d 5h 6d Ah 9h 4c 3s Tc 3h Qh 7d 3d 6s 5s 5c Ad 4h Ts Js 5d Jd 7c 3c 2h 9c Jh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[As, Kh]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 8c 7h As 3c Kh 5c 9h 2c 9d Ad 9s 6s 4s Qh 3s Jh 2d Js 7d Ah Jc Td Kc 2h Tc Ts Ks 3d 5s 7c 7s Jd 9c 8h 4c Ac 8s 3h 4d 6h 4h 5h 2s 6d 5d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Jd, Ad]17109;b2;Hero[8d, Kd]17098;b0
